T (K)   -[G-H(Tr)]/T (J/K/mol)  delta-f H (kJ/mol)    
100     359.453                 -1103.377             
200     311.683                 -1104.756             
250     306.838                 -1105.156             
298.15  305.742                 -1105.413             
300     305.743                 -1105.421             
350     306.583                 -1105.594             
400     308.486                 -1105.704             
450     310.991                 -1105.770             
500     313.838                 -1105.805             
600     320.000                 -1105.814             
700     326.317                 -1105.787             
800     332.525                 -1105.765             
900     338.515                 -1105.786             
1000    344.249                 -1105.881             
1100    349.717                 -1106.072             
1200    354.924                 -1110.084             
1300    359.885                 -1109.963             
1400    364.612                 -1109.891             
1500    369.123                 -1109.883             
1600    373.433                 -1109.954             
1700    377.556                 -1110.115             
1800    381.505                 -1110.379             
1900    385.294                 -1110.754             
2000    388.933                 -1111.250             
2100    392.433                 -1111.873             
2200    395.803                 -1133.952             
2300    399.053                 -1135.264             
2400    402.189                 -1136.573             
2500    405.220                 -1137.874             
2600    408.151                 -1139.161             
2700    410.989                 -1140.429             
2800    413.739                 -1141.674             
2900    416.406                 -1142.890             
3000    418.995                 -1144.074             
3100    421.511                 -1145.223             
3200    423.956                 -1146.333             
3300    426.335                 -1147.402             
3400    428.652                 -1148.427             
3500    430.909                 -1149.407             
3600    433.109                 -1150.341             
3700    435.255                 -1151.227             
3800    437.350                 -1152.066             
3900    439.395                 -1152.856             
4000    441.394                 -1153.598             
4100    443.348                 -1154.291             
4200    445.259                 -1154.937             
4300    447.129                 -1155.536             
4400    448.959                 -1156.088             
4500    450.752                 -1156.595             
4600    452.508                 -1157.056             
4700    454.229                 -1157.474             
4800    455.917                 -1718.785             
4900    457.573                 -1718.770             
5000    459.198                 -1718.730             
5100    460.792                 -1718.667             
5200    462.358                 -1718.579             
5300    463.896                 -1718.467             
5400    465.407                 -1718.330             
5500    466.892                 -1718.168             
5600    468.352                 -1717.980             
5700    469.788                 -1717.767             
5800    471.200                 -1717.528             
5900    472.589                 -1717.264             
6000    473.957                 -1716.974             
