Aluminum Borate (AlBO2)	Al1B1O2(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-12.008	-538.981	-538.981	INFINITE
100	34.879	223.687	310.212	-8.653	-539.038	-543.346	283.815
200	43.736	250.340	274.120	-4.756	-540.187	-547.246	142.926
250	48.632	260.633	270.413	-2.445	-540.819	-548.937	114.694
298.15	52.833	269.567	269.567	0.	-541.410	-550.447	96.436
300	52.982	269.894	269.568	0.098	-541.432	-550.503	95.851
350	56.680	278.347	270.227	2.842	-542.026	-551.967	82.377
400	59.785	286.124	271.734	5.756	-542.616	-553.347	72.260
450	62.400	293.321	273.738	8.812	-543.207	-554.653	64.382
500	64.622	300.014	276.035	11.989	-543.805	-555.893	58.074
600	68.173	312.125	281.062	18.638	-545.033	-558.196	48.595
700	70.861	322.845	286.280	25.596	-546.332	-560.288	41.809
800	72.936	332.449	291.462	32.790	-547.739	-562.188	36.707
900	74.562	341.137	296.506	40.168	-549.289	-563.902	32.728
1000	75.853	349.062	301.371	47.691	-561.605	-564.675	29.496
1100	76.890	356.342	306.042	55.330	-563.180	-564.906	26.825
1200	77.731	363.070	310.518	63.062	-564.761	-564.993	24.594
1300	78.420	369.320	314.804	70.871	-566.352	-564.948	22.700
1400	78.991	375.153	318.908	78.743	-567.958	-564.780	21.072
1500	79.468	380.620	322.842	86.666	-569.585	-564.497	19.658
1600	79.870	385.761	326.615	94.634	-571.236	-564.104	18.416
1700	80.211	390.614	330.239	102.638	-572.915	-563.606	17.318
1800	80.503	395.207	333.722	110.674	-574.624	-563.010	16.338
1900	80.754	399.567	337.073	118.737	-576.367	-562.317	15.459
2000	80.972	403.715	340.303	126.824	-578.146	-561.532	14.666
2100	81.162	407.670	343.417	134.931	-579.962	-560.657	13.946
2200	81.328	411.449	346.424	143.056	-581.818	-559.694	13.289
2300	81.475	415.068	349.331	151.196	-583.714	-558.646	12.687
2400	81.605	418.538	352.142	159.350	-635.911	-556.446	12.111
2500	81.721	421.872	354.865	167.517	-637.970	-553.093	11.556
2600	81.824	425.079	357.505	175.694	-640.039	-549.657	11.043
2700	81.916	428.169	360.065	183.881	-642.119	-546.141	10.566
2800	81.999	431.150	362.551	192.077	-938.112	-541.580	10.103
2900	82.074	434.028	364.966	200.280	-939.120	-527.401	9.500
3000	82.142	436.812	367.315	208.491	-940.141	-513.186	8.935
3100	82.204	439.506	369.600	216.709	-941.174	-498.937	8.407
3200	82.260	442.117	371.826	224.932	-942.220	-484.655	7.911
3300	82.312	444.649	373.995	233.161	-943.278	-470.340	7.445
3400	82.359	447.107	376.109	241.394	-944.348	-455.992	7.005
3500	82.402	449.495	378.172	249.632	-945.431	-441.614	6.591
3600	82.442	451.817	380.185	257.875	-946.525	-427.203	6.199
3700	82.479	454.077	382.152	266.121	-947.632	-412.763	5.827
3800	82.513	456.277	384.074	274.370	-948.752	-398.291	5.475
3900	82.544	458.420	385.953	282.623	-949.883	-383.790	5.140
4000	82.573	460.511	387.791	290.879	-951.027	-369.261	4.822
4100	82.600	462.550	389.589	299.138	-952.184	-354.702	4.519
4200	82.625	464.541	391.350	307.399	-1433.203	-333.091	4.143
4300	82.649	466.485	393.075	315.663	-1433.298	-306.897	3.728
4400	82.671	468.385	394.765	323.929	-1433.410	-280.701	3.332
4500	82.691	470.243	396.422	332.197	-1433.536	-254.502	2.954
4600	82.710	472.061	398.047	340.467	-1433.682	-228.300	2.592
4700	82.728	473.840	399.640	348.739	-1433.846	-202.094	2.246
4800	82.745	475.582	401.204	357.012	-1434.031	-175.884	1.914
4900	82.761	477.288	402.740	365.288	-1434.237	-149.670	1.596
5000	82.776	478.960	404.248	373.565	-1434.466	-123.452	1.290
5100	82.790	480.600	405.729	381.843	-1434.720	-97.229	0.996
5200	82.804	482.208	407.184	390.123	-1435.002	-71.002	0.713
5300	82.816	483.785	408.614	398.404	-1435.312	-44.768	0.441
5400	82.828	485.333	410.021	406.686	-1435.653	-18.529	0.179
5500	82.840	486.853	411.404	414.969	-1436.027	7.717	-0.073
5600	82.850	488.346	412.765	423.254	-1436.437	33.972	-0.317
5700	82.860	489.812	414.104	431.539	-1436.885	60.233	-0.552
5800	82.870	491.253	415.421	439.826	-1437.370	86.502	-0.779
5900	82.879	492.670	416.719	448.113	-1437.900	112.779	-0.998
6000	82.888	494.063	417.996	456.402	-1438.455	139.065	-1.211
