Aluminum Bromide (AlBr)	Al1Br1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.568	23.125	23.125	INFINITE
100	30.226	203.571	269.949	-6.638	24.175	7.209	-3.766
200	33.855	225.727	242.827	-3.420	23.141	-9.434	2.464
250	34.918	233.404	240.199	-1.699	22.340	-17.488	3.654
298.15	35.600	239.616	239.616	0.	15.899	-24.422	4.279
300	35.622	239.836	239.617	0.066	15.850	-24.672	4.296
350	36.102	245.366	240.052	1.860	0.084	-30.552	4.560
400	36.443	250.210	241.026	3.674	-0.290	-34.903	4.558
450	36.695	254.518	242.290	5.503	-0.685	-39.207	4.551
500	36.887	258.394	243.710	7.342	-1.100	-43.465	4.541
600	37.162	265.146	246.736	11.046	-1.992	-51.855	4.514
700	37.351	270.889	249.787	14.772	-2.982	-60.089	4.484
800	37.492	275.886	252.743	18.514	-4.097	-68.173	4.451
900	37.605	280.309	255.565	22.269	-5.365	-76.108	4.417
1000	37.700	284.276	258.241	26.035	-17.402	-83.132	4.342
1100	37.783	287.873	260.774	29.809	-18.695	-89.643	4.257
1200	37.858	291.164	263.172	33.591	-19.983	-96.036	4.180
1300	37.927	294.197	265.443	37.380	-21.269	-102.321	4.111
1400	37.992	297.010	267.599	41.176	-22.553	-108.508	4.048
1500	38.054	299.634	269.648	44.979	-23.835	-114.602	3.991
1600	38.114	302.091	271.600	48.787	-25.117	-120.612	3.938
1700	38.171	304.404	273.462	52.601	-26.398	-126.541	3.888
1800	38.228	306.587	275.242	56.421	-27.680	-132.395	3.842
1900	38.283	308.656	276.947	60.247	-28.964	-138.177	3.799
2000	38.337	310.621	278.582	64.078	-30.251	-143.892	3.758
2100	38.391	312.492	280.152	67.914	-31.541	-149.542	3.720
2200	38.445	314.280	281.663	71.756	-32.837	-155.131	3.683
2300	38.499	315.990	283.119	75.603	-34.137	-160.661	3.649
2400	38.553	317.629	284.523	79.456	-35.443	-166.134	3.616
2500	38.609	319.204	285.879	83.314	-36.755	-171.552	3.584
2600	38.666	320.720	287.190	87.178	-38.073	-176.918	3.554
2700	38.725	322.180	288.459	91.047	-39.397	-182.233	3.526
2800	38.788	323.590	289.689	94.923	-334.626	-186.532	3.480
2900	38.853	324.952	290.881	98.805	-334.862	-181.238	3.264
3000	38.924	326.270	292.039	102.694	-335.100	-175.937	3.063
3100	38.999	327.548	293.164	106.590	-335.340	-170.628	2.875
3200	39.081	328.787	294.258	110.494	-335.579	-165.311	2.698
3300	39.170	329.991	295.323	114.406	-335.815	-159.986	2.532
3400	39.267	331.162	296.359	118.328	-336.048	-154.654	2.376
3500	39.372	332.302	297.370	122.260	-336.274	-149.316	2.228
3600	39.487	333.412	298.356	126.203	-336.492	-143.971	2.089
3700	39.612	334.496	299.318	130.158	-336.699	-138.620	1.957
3800	39.749	335.554	300.258	134.126	-336.894	-133.265	1.832
3900	39.896	336.589	301.176	138.108	-337.074	-127.903	1.713
4000	40.056	337.601	302.074	142.105	-337.238	-122.538	1.600
4100	40.228	338.592	302.953	146.120	-337.384	-117.169	1.493
4200	40.413	339.563	303.813	150.152	-337.509	-111.796	1.390
4300	40.612	340.517	304.656	154.203	-337.612	-106.421	1.293
4400	40.823	341.453	305.481	158.274	-337.692	-101.043	1.200
4500	41.048	342.373	306.291	162.368	-337.744	-95.664	1.110
4600	41.286	343.277	307.085	166.484	-337.772	-90.284	1.025
4700	41.537	344.168	307.865	170.625	-337.772	-84.904	0.944
4800	41.801	345.045	308.630	174.792	-337.744	-79.524	0.865
4900	42.078	345.910	309.382	178.986	-337.685	-74.145	0.790
5000	42.368	346.763	310.121	183.208	-337.596	-68.768	0.718
5100	42.669	347.605	310.848	187.460	-337.477	-63.392	0.649
5200	42.982	348.436	311.563	191.743	-337.326	-58.019	0.583
5300	43.305	349.258	312.266	196.057	-337.144	-52.650	0.519
5400	43.639	350.071	312.959	200.404	-336.930	-47.284	0.457
5500	43.983	350.875	313.641	204.785	-336.684	-41.922	0.398
5600	44.336	351.670	314.313	209.201	-336.407	-36.566	0.341
5700	44.697	352.458	314.975	213.652	-336.099	-31.214	0.286
5800	45.066	353.239	315.628	218.141	-335.757	-25.868	0.233
5900	45.441	354.012	316.272	222.666	-335.388	-20.528	0.182
6000	45.822	354.779	316.908	227.229	-334.967	-15.197	0.132
