Aluminum Chloride Oxide (OAlCl)	Al1Cl1O1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-11.407	-346.045	-346.045	INFINITE
100	32.420	204.221	288.567	-8.435	-346.464	-348.072	181.814
200	43.404	230.239	253.322	-4.617	-347.422	-349.296	91.227
250	47.248	240.357	249.740	-2.346	-347.803	-349.719	73.070
298.15	50.068	248.931	248.931	0.	-348.109	-350.059	61.329
300	50.162	249.241	248.932	0.093	-348.120	-350.071	60.953
350	52.394	257.148	249.551	2.659	-348.386	-350.375	52.291
400	54.118	264.262	250.953	5.324	-348.617	-350.643	45.789
450	55.464	270.717	252.796	8.065	-348.826	-350.884	40.730
500	56.527	276.618	254.887	10.865	-349.023	-351.102	36.679
600	58.059	287.069	259.403	16.600	-349.420	-351.481	30.599
700	59.076	296.101	264.015	22.460	-349.871	-351.789	26.251
800	59.780	304.038	268.532	28.405	-350.425	-352.027	22.985
900	60.284	311.110	272.877	34.410	-351.124	-352.187	20.440
1000	60.656	317.482	277.024	40.458	-362.591	-351.500	18.360
1100	60.938	323.276	280.969	46.538	-363.316	-350.356	16.637
1200	61.155	328.588	284.719	52.643	-364.041	-349.146	15.198
1300	61.327	333.491	288.285	58.767	-364.769	-347.875	13.978
1400	61.465	338.041	291.678	64.907	-365.502	-346.548	12.930
1500	61.577	342.285	294.912	71.060	-366.241	-345.169	12.020
1600	61.670	346.262	297.999	77.222	-366.987	-343.740	11.222
1700	61.747	350.003	300.949	83.393	-367.741	-342.263	10.516
1800	61.811	353.535	303.773	89.571	-368.505	-340.743	9.888
1900	61.867	356.878	306.481	95.755	-369.279	-339.180	9.325
2000	61.914	360.053	309.081	101.944	-370.065	-337.575	8.817
2100	61.955	363.075	311.581	108.137	-370.864	-335.931	8.356
2200	61.990	365.958	313.987	114.335	-371.676	-334.248	7.936
2300	62.021	368.714	316.307	120.535	-372.503	-332.529	7.552
2400	62.048	371.354	318.546	126.739	-373.346	-330.773	7.199
2500	62.072	373.887	320.709	132.945	-374.204	-328.981	6.874
2600	62.094	376.322	322.802	139.153	-375.080	-327.155	6.573
2700	62.113	378.666	324.828	145.363	-375.974	-325.295	6.293
2800	62.130	380.925	326.791	151.576	-670.786	-322.433	6.015
2900	62.145	383.106	328.696	157.789	-670.620	-309.995	5.584
3000	62.159	385.213	330.545	164.005	-670.471	-297.563	5.181
3100	62.172	387.251	332.341	170.221	-670.341	-285.134	4.804
3200	62.183	389.225	334.088	176.439	-670.229	-272.710	4.452
3300	62.193	391.139	335.788	182.658	-670.133	-260.289	4.120
3400	62.203	392.996	337.444	188.878	-670.053	-247.871	3.808
3500	62.212	394.799	339.057	195.098	-669.989	-235.455	3.514
3600	62.220	396.552	340.629	201.320	-669.939	-223.040	3.236
3700	62.227	398.256	342.164	207.542	-669.903	-210.627	2.974
3800	62.234	399.916	343.662	213.765	-669.879	-198.215	2.725
3900	62.240	401.533	345.125	219.989	-669.866	-185.802	2.489
4000	62.246	403.109	346.555	226.213	-669.863	-173.391	2.264
4100	62.251	404.646	347.953	232.438	-669.870	-160.979	2.051
4200	62.256	406.146	349.321	238.663	-669.885	-148.567	1.848
4300	62.261	407.611	350.660	244.889	-669.907	-136.154	1.654
4400	62.265	409.042	351.970	251.116	-669.935	-123.741	1.469
4500	62.269	410.441	353.254	257.342	-669.967	-111.328	1.292
4600	62.273	411.810	354.512	263.569	-670.006	-98.913	1.123
4700	62.277	413.149	355.746	269.797	-670.050	-86.497	0.961
4800	62.280	414.461	356.955	276.025	-670.099	-74.081	0.806
4900	62.283	415.745	358.142	282.253	-670.151	-61.663	0.657
5000	62.286	417.003	359.307	288.481	-670.209	-49.244	0.514
5100	62.289	418.237	360.450	294.710	-670.272	-36.824	0.377
5200	62.292	419.446	361.573	300.939	-670.341	-24.404	0.245
5300	62.294	420.633	362.676	307.168	-670.415	-11.981	0.118
5400	62.296	421.797	363.760	313.398	-670.497	0.443	-0.004
5500	62.299	422.940	364.826	319.628	-670.586	12.869	-0.122
5600	62.301	424.063	365.874	325.858	-670.685	25.296	-0.236
5700	62.303	425.165	366.904	332.088	-670.793	37.725	-0.346
5800	62.305	426.249	367.918	338.318	-670.910	50.157	-0.452
5900	62.306	427.314	368.916	344.549	-671.043	62.589	-0.554
6000	62.308	428.361	369.898	350.779	-671.167	75.023	-0.653
