Boron, Ion (B-)	B1-(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-6.273	528.172				
100	20.804	134.096	175.295	-4.120						
200	20.790	148.511	158.713	-2.040						
250	20.789	153.150	157.153	-1.001						
298.15	20.788	156.811	156.811	0.	527.033	488.274	-85.544
300	20.788	156.940	156.812	0.038	527.012	488.034	-84.974
350	20.787	160.144	157.065	1.078	526.385	481.585	-71.873
400	20.787	162.920	157.627	2.117	525.650	475.234	-62.059
450	20.787	165.368	158.354	3.157	524.822	468.981	-54.438
500	20.787	167.558	159.167	4.196	523.919	462.824	-48.351
600	20.787	171.348	160.891	6.275	521.938	450.788	-39.245
700	20.786	174.553	162.619	8.353	519.783	439.098	-32.766
800	20.786	177.328	164.288	10.432	517.500	427.726	-27.928
900	20.786	179.776	165.876	12.510	515.118	416.647	-24.182
1000	20.786	181.966	167.377	14.589	512.656	405.837	-21.199
1100	20.786	183.948	168.795	16.668	510.126	395.277	-18.770
1200	20.786	185.756	170.134	18.746	507.537	384.950	-16.756
1300	20.786	187.420	171.401	20.825	504.896	374.841	-15.061
1400	20.786	188.960	172.601	22.904	502.206	364.938	-13.616
1500	20.786	190.395	173.740	24.982	499.472	355.228	-12.370
1600	20.786	191.736	174.823	27.061	496.695	345.702	-11.286
1700	20.786	192.996	175.855	29.139	493.879	336.351	-10.335
1800	20.786	194.184	176.841	31.218	491.025	327.167	-9.494
1900	20.786	195.308	177.784	33.297	488.133	318.142	-8.746
2000	20.786	196.374	178.687	35.375	485.206	309.271	-8.077
2100	20.786	197.388	179.553	37.454	482.243	300.547	-7.476
2200	20.786	198.355	180.386	39.532	479.246	291.965	-6.932
2300	20.786	199.279	181.188	41.611	476.215	283.520	-6.439
2400	20.786	200.164	181.960	43.690	422.892	276.276	-6.013
2500	20.786	201.013	182.705	45.768	419.717	270.232	-5.646
2600	20.786	201.828	183.425	47.847	416.542	264.315	-5.310
2700	20.786	202.612	184.121	49.925	413.367	258.521	-5.001
2800	20.786	203.368	184.795	52.004	410.192	252.844	-4.717
2900	20.786	204.098	185.448	54.083	407.017	247.280	-4.454
3000	20.786	204.802	186.082	56.161	403.842	241.826	-4.211
3100	20.786	205.484	186.697	58.240	400.667	236.478	-3.985
3200	20.786	206.144	187.294	60.318	397.492	231.232	-3.774
3300	20.786	206.783	187.875	62.397	394.317	226.086	-3.579
3400	20.786	207.404	188.441	64.476	391.142	221.036	-3.396
3500	20.786	208.007	188.991	66.554	387.967	216.079	-3.225
3600	20.786	208.592	189.527	68.633	384.792	211.213	-3.065
3700	20.786	209.162	190.050	70.711	381.617	206.435	-2.914
3800	20.786	209.716	190.561	72.790	378.442	201.743	-2.773
3900	20.786	210.256	191.059	74.869	375.267	197.134	-2.640
4000	20.786	210.782	191.545	76.947	372.092	192.607	-2.515
4100	20.786	211.295	192.021	79.026	368.917	188.159	-2.397
4200	20.786	211.796	192.486	81.104	-114.108	190.813	-2.373
4300	20.786	212.285	192.940	83.183	-116.195	198.097	-2.406
4400	20.786	212.763	193.386	85.262	-118.285	205.431	-2.439
4500	20.786	213.230	193.821	87.340	-120.377	212.811	-2.470
4600	20.786	213.687	194.248	89.419	-122.471	220.239	-2.501
4700	20.786	214.134	194.667	91.498	-124.567	227.712	-2.531
4800	20.786	214.572	195.077	93.576	-126.666	235.229	-2.560
4900	20.786	215.000	195.479	95.655	-128.769	242.790	-2.588
5000	20.786	215.420	195.874	97.733	-130.875	250.395	-2.616
5100	20.786	215.832	196.261	99.812	-132.985	258.041	-2.643
5200	20.786	216.236	196.641	101.891	-135.099	265.729	-2.669
5300	20.786	216.632	197.015	103.969	-137.217	273.457	-2.695
5400	20.786	217.020	197.382	106.048	-139.340	281.225	-2.720
5500	20.786	217.401	197.742	108.126	-141.468	289.033	-2.745
5600	20.786	217.776	198.097	110.205	-143.602	296.880	-2.769
5700	20.786	218.144	198.445	112.284	-145.741	304.765	-2.793
5800	20.786	218.505	198.788	114.362	-147.887	312.687	-2.816
5900	20.786	218.861	199.125	116.441	-150.039	320.646	-2.839
6000	20.786	219.210	199.457	118.519	-152.198	328.642	-2.861
