Borane (BH)	B1H1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-8.639	439.476	439.476	INFINITE
100	29.126	140.014	197.766	-5.775	440.816	431.882	-225.592
200	29.143	160.207	174.516	-2.862	442.050	422.433	-110.328
250	29.156	166.712	172.329	-1.404	442.438	417.481	-87.228
298.15	29.181	171.849	171.849	0.	442.667	412.651	-72.295
300	29.182	172.029	171.849	0.054	442.673	412.465	-71.816
350	29.240	176.532	172.205	1.514	442.782	407.420	-60.804
400	29.347	180.442	172.995	2.979	442.783	402.367	-52.544
450	29.514	183.908	174.019	4.450	442.696	397.319	-46.120
500	29.741	187.029	175.166	5.931	442.543	392.285	-40.982
600	30.340	192.502	177.612	8.934	442.100	382.272	-33.280
700	31.052	197.231	180.084	12.003	441.545	372.344	-27.785
800	31.792	201.426	182.495	15.145	440.928	362.500	-23.669
900	32.503	205.212	184.812	18.360	440.274	352.735	-20.472
1000	33.160	208.671	187.027	21.644	439.594	343.045	-17.919
1100	33.752	211.860	189.142	24.990	438.890	333.424	-15.833
1200	34.280	214.820	191.160	28.392	438.164	323.868	-14.098
1300	34.748	217.583	193.087	31.844	437.414	314.373	-12.632
1400	35.162	220.173	194.930	35.340	436.639	304.938	-11.377
1500	35.530	222.612	196.695	38.875	435.835	295.558	-10.292
1600	35.859	224.916	198.388	42.445	435.003	286.233	-9.345
1700	36.152	227.099	200.013	46.046	434.141	276.961	-8.510
1800	36.417	229.173	201.576	49.674	433.248	267.741	-7.770
1900	36.657	231.148	203.081	53.328	432.324	258.571	-7.109
2000	36.875	233.034	204.531	57.005	431.368	249.451	-6.515
2100	37.075	234.838	205.932	60.703	430.381	240.379	-5.979
2200	37.259	236.567	207.285	64.419	429.361	231.356	-5.493
2300	37.429	238.227	208.595	68.154	428.309	222.379	-5.050
2400	37.587	239.823	209.863	71.905	376.966	214.517	-4.669
2500	37.736	241.361	211.092	75.671	375.772	207.773	-4.341
2600	37.875	242.844	212.285	79.452	374.579	201.077	-4.040
2700	38.007	244.275	213.444	83.246	373.386	194.426	-3.761
2800	38.132	245.660	214.570	87.053	372.193	187.820	-3.504
2900	38.250	247.000	215.665	90.872	371.001	181.256	-3.265
3000	38.364	248.299	216.731	94.703	369.808	174.733	-3.042
3100	38.472	249.559	217.770	98.544	368.615	168.251	-2.835
3200	38.577	250.782	218.783	102.397	367.421	161.806	-2.641
3300	38.677	251.970	219.770	106.260	366.227	155.399	-2.460
3400	38.775	253.126	220.734	110.132	365.033	149.028	-2.290
3500	38.869	254.252	221.676	114.015	363.837	142.693	-2.130
3600	38.961	255.348	222.596	117.906	362.641	136.391	-1.979
3700	39.050	256.417	223.496	121.807	361.445	130.123	-1.837
3800	39.137	257.459	224.376	125.716	360.247	123.887	-1.703
3900	39.222	258.477	225.237	129.634	359.048	117.683	-1.576
4000	39.305	259.471	226.081	133.560	357.848	111.509	-1.456
4100	39.386	260.443	226.907	137.495	356.648	105.366	-1.342
4200	39.467	261.393	227.717	141.437	-124.404	106.276	-1.322
4300	39.545	262.322	228.511	145.388	-124.520	111.769	-1.358
4400	39.623	263.232	229.290	149.346	-124.639	117.266	-1.392
4500	39.699	264.123	230.054	153.313	-124.761	122.765	-1.425
4600	39.774	264.997	230.804	157.286	-124.886	128.267	-1.457
4700	39.848	265.853	231.541	161.267	-125.015	133.771	-1.487
4800	39.922	266.693	232.264	165.256	-125.148	139.279	-1.516
4900	39.994	267.517	232.975	169.252	-125.285	144.789	-1.543
5000	40.066	268.325	233.674	173.255	-125.425	150.303	-1.570
5100	40.137	269.119	234.362	177.265	-125.570	155.818	-1.596
5200	40.207	269.900	235.038	181.282	-125.719	161.337	-1.621
5300	40.277	270.666	235.703	185.306	-125.872	166.859	-1.644
5400	40.346	271.420	236.357	189.337	-126.030	172.384	-1.667
5500	40.415	272.161	237.001	193.375	-126.192	177.911	-1.690
5600	40.483	272.889	237.636	197.420	-126.358	183.442	-1.711
5700	40.551	273.606	238.261	201.472	-126.529	188.976	-1.732
5800	40.618	274.312	238.876	205.530	-126.704	194.513	-1.752
5900	40.685	275.007	239.483	209.596	-126.884	200.052	-1.771
6000	40.752	275.692	240.080	213.667	-127.068	205.595	-1.790
