Boric Acid (HBO2)	B1H1O2(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-10.687	-557.212	-557.212	INFINITE
100	33.404	200.044	273.638	-7.359	-558.313	-555.919	290.382
200	36.887	224.017	243.422	-3.881	-559.425	-553.107	144.457
250	39.583	232.535	240.414	-1.970	-560.041	-551.456	115.221
298.15	42.232	239.734	239.734	0.	-560.656	-549.748	96.313
300	42.332	239.995	239.735	0.078	-560.680	-549.680	95.708
350	45.007	246.723	240.260	2.262	-561.324	-547.796	81.754
400	47.553	252.901	241.459	4.577	-561.968	-545.819	71.277
450	49.941	258.641	243.053	7.015	-562.605	-543.762	63.118
500	52.157	264.019	244.883	9.568	-563.228	-541.635	56.584
600	56.073	273.885	248.910	14.985	-564.416	-537.203	46.768
700	59.364	282.783	253.124	20.762	-565.518	-532.579	39.742
800	62.136	290.896	257.345	26.841	-566.535	-527.803	34.462
900	64.489	298.354	261.493	33.175	-567.476	-522.904	30.349
1000	66.505	305.256	265.529	39.727	-568.349	-517.905	27.053
1100	68.244	311.678	269.436	46.467	-569.168	-512.820	24.352
1200	69.752	317.682	273.209	53.368	-569.944	-507.663	22.098
1300	71.066	323.318	276.849	60.411	-570.686	-502.443	20.188
1400	72.215	328.628	280.359	67.576	-571.406	-497.166	18.549
1500	73.223	333.645	283.746	74.849	-572.113	-491.839	17.127
1600	74.111	338.400	287.015	82.216	-572.814	-486.464	15.881
1700	74.894	342.917	290.171	89.668	-573.518	-481.046	14.781
1800	75.588	347.218	293.222	97.192	-574.231	-475.586	13.801
1900	76.203	351.321	296.173	104.782	-574.958	-470.086	12.924
2000	76.752	355.244	299.029	112.431	-575.705	-464.547	12.133
2100	77.242	359.001	301.796	120.131	-576.475	-458.970	11.416
2200	77.681	362.605	304.479	127.877	-577.273	-453.356	10.764
2300	78.075	366.067	307.082	135.666	-578.102	-447.705	10.168
2400	78.430	369.397	309.609	143.491	-629.224	-440.949	9.597
2500	78.751	372.605	312.065	151.350	-630.199	-433.084	9.049
2600	79.041	375.700	314.454	159.240	-631.179	-425.180	8.542
2700	79.305	378.688	316.778	167.158	-632.166	-417.238	8.072
2800	79.545	381.576	319.041	175.100	-633.161	-409.259	7.635
2900	79.764	384.372	321.245	183.066	-634.165	-401.246	7.227
3000	79.964	387.079	323.395	191.053	-635.179	-393.196	6.846
3100	80.148	389.704	325.492	199.058	-636.204	-385.113	6.489
3200	80.316	392.252	327.539	207.082	-637.240	-376.997	6.154
3300	80.472	394.725	329.537	215.121	-638.288	-368.849	5.838
3400	80.615	397.130	331.490	223.176	-639.349	-360.668	5.541
3500	80.747	399.469	333.399	231.244	-640.422	-352.456	5.260
3600	80.869	401.745	335.266	239.325	-641.508	-344.213	4.994
3700	80.982	403.962	337.093	247.417	-642.607	-335.940	4.743
3800	81.088	406.123	338.881	255.521	-643.719	-327.636	4.504
3900	81.185	408.231	340.632	263.635	-644.844	-319.303	4.277
4000	81.277	410.288	342.348	271.758	-645.982	-310.942	4.060
4100	81.362	412.296	344.030	279.890	-647.134	-302.551	3.855
4200	81.441	414.257	345.679	288.030	-1128.149	-287.109	3.571
4300	81.516	416.174	347.296	296.178	-1128.242	-267.082	3.244
4400	81.585	418.049	348.883	304.333	-1128.350	-247.055	2.933
4500	81.651	419.883	350.440	312.495	-1128.474	-227.025	2.635
4600	81.712	421.679	351.969	320.663	-1128.615	-206.991	2.350
4700	81.770	423.437	353.471	328.837	-1128.774	-186.954	2.078
4800	81.824	425.159	354.947	337.017	-1128.950	-166.913	1.816
4900	81.876	426.846	356.397	345.202	-1129.146	-146.868	1.566
5000	81.924	428.501	357.823	353.392	-1129.360	-126.819	1.325
5100	81.970	430.124	359.225	361.586	-1129.595	-106.766	1.094
5200	82.013	431.716	360.603	369.786	-1129.850	-86.709	0.871
5300	82.054	433.279	361.960	377.989	-1130.127	-66.645	0.657
5400	82.092	434.813	363.295	386.196	-1130.427	-46.577	0.451
5500	82.129	436.319	364.609	394.407	-1130.750	-26.504	0.252
5600	82.164	437.799	365.903	402.622	-1131.098	-6.422	0.060
5700	82.197	439.254	367.177	410.840	-1131.472	13.664	-0.125
5800	82.229	440.684	368.432	419.061	-1131.872	33.758	-0.304
5900	82.258	442.090	369.668	427.286	-1132.299	53.857	-0.477
6000	82.287	443.473	370.887	435.513	-1132.756	73.966	-0.644
