Boron Hydride Sulfide (HBS)	B1H1S1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.287	50.781	50.781	INFINITE
100	29.161	180.556	244.344	-6.379	51.475	39.739	-20.758
200	31.839	201.339	218.167	-3.366	51.167	28.051	-7.326
250	34.328	208.706	215.556	-1.713	50.731	22.320	-4.664
298.15	36.789	214.964	214.964	0.	50.208	16.894	-2.960
300	36.881	215.192	214.965	0.068	50.186	16.688	-2.906
350	39.237	221.057	215.422	1.972	49.573	11.152	-1.664
400	41.313	226.435	216.468	3.987	46.693	5.797	-0.757
450	43.113	231.408	217.855	6.099	45.321	0.758	-0.088
500	44.673	236.033	219.444	8.294	43.880	-4.114	0.430
600	47.240	244.414	222.922	12.895	41.450	-13.478	1.173
700	49.284	251.855	226.534	17.725	39.309	-22.460	1.676
800	50.966	258.549	230.124	22.740	37.354	-31.149	2.034
900	52.379	264.636	233.626	27.909	-17.603	-38.520	2.236
1000	53.577	270.219	237.010	33.209	-18.124	-40.816	2.132
1100	54.598	275.374	240.266	38.619	-18.634	-43.061	2.045
1200	55.470	280.163	243.394	44.123	-19.145	-45.259	1.970
1300	56.219	284.633	246.396	49.709	-19.664	-47.414	1.905
1400	56.863	288.824	249.278	55.364	-20.199	-49.529	1.848
1500	57.419	292.766	252.047	61.078	-20.756	-51.605	1.797
1600	57.901	296.488	254.710	66.845	-21.339	-53.642	1.751
1700	58.320	300.011	257.272	72.657	-21.953	-55.643	1.710
1800	58.686	303.355	259.740	78.507	-22.601	-57.606	1.672
1900	59.008	306.537	262.120	84.392	-23.283	-59.532	1.637
2000	59.291	309.571	264.417	90.308	-24.002	-61.421	1.604
2100	59.541	312.470	266.637	96.249	-24.758	-63.274	1.574
2200	59.763	315.245	268.784	102.215	-25.551	-65.090	1.545
2300	59.961	317.906	270.862	108.201	-26.383	-66.868	1.519
2400	60.139	320.462	272.876	114.206	-77.513	-67.541	1.470
2500	60.299	322.920	274.829	120.228	-78.499	-67.106	1.402
2600	60.444	325.288	276.724	126.266	-79.492	-66.630	1.339
2700	60.576	327.572	278.565	132.317	-80.490	-66.117	1.279
2800	60.697	329.777	280.355	138.380	-81.494	-65.566	1.223
2900	60.810	331.909	282.096	144.456	-82.504	-64.979	1.170
3000	60.915	333.972	283.791	150.542	-83.520	-64.358	1.121
3100	61.016	335.971	285.443	156.639	-84.541	-63.702	1.073
3200	61.112	337.910	287.052	162.745	-85.569	-63.014	1.029
3300	61.207	339.792	288.622	168.861	-86.601	-62.293	0.986
3400	61.301	341.620	290.154	174.987	-87.639	-61.541	0.945
3500	61.396	343.399	291.650	181.121	-88.682	-60.758	0.907
3600	61.493	345.130	293.111	187.266	-89.730	-59.945	0.870
3700	61.594	346.816	294.540	193.420	-90.781	-59.103	0.834
3800	61.701	348.460	295.938	199.585	-91.836	-58.233	0.800
3900	61.814	350.064	297.305	205.761	-92.894	-57.335	0.768
4000	61.935	351.631	298.644	211.948	-93.955	-56.410	0.737
4100	62.066	353.162	299.955	218.148	-95.017	-55.458	0.707
4200	62.206	354.659	301.239	224.361	-575.929	-47.456	0.590
4300	62.359	356.124	302.499	230.590	-575.903	-34.874	0.424
4400	62.524	357.560	303.734	236.834	-575.878	-22.292	0.265
4500	62.703	358.967	304.946	243.095	-575.852	-9.711	0.113
4600	62.897	360.347	306.135	249.375	-575.824	2.870	-0.033
4700	63.106	361.702	307.303	255.675	-575.793	15.450	-0.172
4800	63.331	363.033	308.450	261.996	-575.757	28.029	-0.305
4900	63.574	364.341	309.578	268.342	-575.716	40.607	-0.433
5000	63.833	365.628	310.686	274.712	-575.667	53.185	-0.556
5100	64.111	366.895	311.776	281.109	-575.609	65.762	-0.674
5200	64.407	368.143	312.848	287.535	-575.541	78.337	-0.787
5300	64.721	369.372	313.903	293.991	-575.461	90.911	-0.896
5400	65.054	370.585	314.941	300.479	-575.366	103.483	-1.001
5500	65.405	371.782	315.964	307.002	-575.256	116.053	-1.102
5600	65.774	372.964	316.971	313.561	-575.129	128.621	-1.200
5700	66.162	374.132	317.964	320.158	-574.982	141.187	-1.294
5800	66.567	375.286	318.942	326.794	-574.814	153.750	-1.385
5900	66.989	376.427	319.907	333.471	-574.623	166.310	-1.472
6000	67.428	377.557	320.858	340.192	-574.408	178.866	-1.557
