Boron Nitride (BN)	B1N1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-2.628	-247.993	-247.993	INFINITE
100	4.950	2.791	27.183	-2.439	-249.280	-241.538	126.166
200	12.414	8.473	16.359	-1.577	-250.206	-233.418	60.963
298.15	19.719	14.795	14.795	0.	-250.914	-225.022	39.423
300	19.849	14.917	14.795	0.037	-250.926	-224.861	39.152
400	26.276	21.539	15.654	2.354	-251.430	-216.091	28.219
500	31.380	27.974	17.480	5.247	-251.737	-207.217	21.648
600	35.229	34.051	19.741	8.586	-251.871	-198.298	17.263
700	38.074	39.701	22.194	12.255	-251.879	-189.367	14.131
800	40.459	44.943	24.714	16.184	-251.787	-180.442	11.782
900	42.593	49.836	27.236	20.339	-251.602	-171.534	9.956
1000	44.350	54.417	29.728	24.689	-251.334	-162.652	8.496
1100	45.815	58.716	32.170	29.201	-251.001	-153.799	7.303
1200	46.861	62.749	34.552	33.836	-250.629	-144.979	6.311
1300	47.698	66.534	36.868	38.566	-250.237	-136.190	5.472
1400	48.283	70.091	39.115	43.367	-249.844	-127.432	4.755
1500	48.702	73.438	41.293	48.218	-249.461	-118.702	4.134
1600	48.911	76.589	43.401	53.099	-249.105	-109.996	3.591
1700	48.939	79.555	45.442	57.992	-248.791	-101.312	3.113
1800	48.953	82.352	47.415	62.887	-248.526	-92.645	2.688
1900	48.953	84.999	49.324	67.782	-248.307	-83.991	2.309
2000	48.953	87.510	51.171	72.677	-248.134	-75.347	1.968
2100	48.953	89.899	52.959	77.573	-248.003	-66.711	1.659
2200	48.953	92.176	54.690	82.468	-247.915	-58.080	1.379
2300	48.953	94.352	56.368	87.363	-247.867	-49.453	1.123
2400	48.953	96.435	57.994	92.258	-298.118	-39.758	0.865
2500	48.953	98.434	59.572	97.154	-298.226	-28.990	0.606
2600	48.953	100.354	61.104	102.049	-298.339	-18.219	0.366
2700	48.953	102.201	62.592	106.944	-298.456	-7.443	0.144
2800	48.953	103.981	64.039	111.840	-298.578	3.338	-0.062
2900	48.953	105.699	65.446	116.735	-298.704	14.123	-0.254
3000	48.953	107.359	66.815	121.630	-298.834	24.912	-0.434
3100	48.953	108.964	68.149	126.525	-298.966	35.706	-0.602
3200	48.953	110.518	69.449	131.421	-299.103	46.504	-0.759
3300	48.953	112.024	70.717	136.316	-299.242	57.306	-0.907
3400	48.953	113.486	71.953	141.211	-299.384	68.113	-1.046
3500	48.953	114.905	73.160	146.107	-299.528	78.923	-1.178
