Boron Oxide (B2O3)	B2O3(l)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	16.617	INFINITE	-10.060	-1247.966	-1247.966	INFINITE
100	25.786	32.674	122.342	-8.967	-1251.278	-1228.488	641.696
200	45.915	56.849	83.667	-5.363	-1252.707	-1205.064	314.730
298.15	62.802	78.443	78.443	0.	-1253.359	-1181.521	206.998
300	63.095	78.832	78.444	0.116	-1253.366	-1181.075	205.644
400	77.404	98.998	81.097	7.160	-1253.504	-1156.945	151.082
500	89.203	117.606	86.563	15.522	-1253.193	-1132.832	118.346
600	132.842	138.348	93.368	26.988	-1250.428	-1108.930	96.541
700	129.788	158.562	101.280	40.097	-1246.511	-1085.668	81.014
723.000	129.704	162.757	103.170	43.081	CRYSTAL <--> LIQUID
800	129.704	175.883	109.547	53.069	1243.111  1062.926 69.402
900	129.704	191.160	117.783	66.039	-1240.012	-1040.592	60.394
1000	129.704	204.826	125.816	79.009	-1237.159	-1018.589	53.206
1100	129.704	217.188	133.570	91.980	-1234.512	-996.861	47.337
1200	129.704	228.474	141.015	104.950	-1232.043	-975.367	42.457
1300	129.704	238.855	148.147	117.921	-1229.730	-954.072	38.335
1400	129.704	248.468	154.974	130.891	-1227.560	-932.950	34.809
1500	129.704	257.416	161.509	143.861	-1225.520	-911.979	31.758
1600	129.704	265.787	167.767	156.832	-1223.603	-891.139	29.093
1700	129.704	273.650	173.767	169.802	-1221.802	-870.416	26.745
1800	129.704	281.064	179.524	182.773	-1220.115	-849.796	24.660
1900	129.704	288.077	185.054	195.743	-1218.537	-829.266	22.798
2000	129.704	294.730	190.373	208.713	-1217.065	-808.817	21.124
2100	129.704	301.058	195.494	221.684	-1215.698	-788.438	19.611
2200	129.704	307.092	200.431	234.654	-1214.434	-768.122	18.238
2300	129.704	312.857	205.195	247.625	-1213.271	-747.862	16.984
2400	129.704	318.378	209.796	260.595	-1312.727	-725.513	15.790
2500	129.704	323.672	214.246	273.565	-1311.919	-701.062	14.648
2600	129.704	328.759	218.553	286.536	-1311.143	-676.643	13.594
2700	129.704	333.654	222.726	299.506	-1310.398	-652.253	12.619
2800	129.704	338.371	226.773	312.477	-1309.685	-627.890	11.713
2900	129.704	342.923	230.700	325.447	-1309.001	-603.554	10.871
3000	129.704	347.320	234.514	338.417	-1308.346	-579.238	10.085
