Molybdenum Bromide (MoBr)	Br1Mo1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.796	464.355	464.355	INFINITE
100	31.264	232.325	300.685	-6.836	465.427	445.589	-232.752
200	34.897	255.303	272.802	-3.500	464.470	426.047	-111.272
250	35.718	263.186	270.117	-1.733	463.711	416.526	-87.028
298.15	36.214	269.523	269.523	0.	457.311	408.172	-71.510
300	36.229	269.747	269.524	0.067	457.264	407.867	-71.016
350	36.566	275.359	269.966	1.887	441.545	400.504	-59.772
400	36.800	280.258	270.953	3.722	441.223	394.663	-51.538
450	36.971	284.603	272.233	5.566	440.882	388.863	-45.138
500	37.101	288.505	273.668	7.418	440.525	383.102	-40.022
600	37.285	295.287	276.723	11.138	439.769	371.687	-32.358
700	37.413	301.044	279.796	14.874	438.962	360.404	-26.894
800	37.509	306.047	282.772	18.620	438.111	349.239	-22.803
900	37.587	310.469	285.608	22.375	437.217	338.183	-19.628
1000	37.653	314.433	288.296	26.137	436.280	327.229	-17.093
1100	37.712	318.024	290.838	29.905	435.294	316.371	-15.023
1200	37.768	321.308	293.242	33.679	434.254	305.605	-13.303
1300	37.822	324.333	295.519	37.459	433.152	294.929	-11.850
1400	37.880	327.138	297.679	41.244	431.982	284.340	-10.609
1500	37.945	329.754	299.731	45.035	430.739	273.837	-9.536
1600	38.024	332.205	301.685	48.833	429.415	263.419	-8.600
1700	38.123	334.513	303.549	52.640	428.007	253.087	-7.776
1800	38.251	336.696	305.330	56.459	426.507	242.841	-7.047
1900	38.416	338.768	307.036	60.292	424.911	232.680	-6.397
2000	38.627	340.744	308.672	64.144	423.213	222.606	-5.814
2100	38.891	342.635	310.245	68.019	421.410	212.620	-5.289
2200	39.216	344.451	311.759	71.924	419.497	202.722	-4.813
2300	39.610	346.203	313.218	75.864	417.471	192.913	-4.381
2400	40.075	347.898	314.628	79.848	415.328	183.195	-3.987
2500	40.617	349.545	315.992	83.882	413.063	173.569	-3.627
2600	41.236	351.150	317.313	87.974	410.663	164.036	-3.296
2700	41.931	352.719	318.596	92.132	408.096	154.599	-2.991
2800	42.701	354.257	319.842	96.363	405.307	145.260	-2.710
2900	43.541	355.770	321.055	100.674	366.340	136.076	-2.451
3000	44.445	357.261	322.237	105.073	364.925	128.160	-2.231
3100	45.406	358.734	323.391	109.565	363.596	120.290	-2.027
3200	46.414	360.192	324.518	114.156	362.358	112.461	-1.836
3300	47.460	361.636	325.621	118.849	361.217	104.670	-1.657
3400	48.534	363.069	326.701	123.649	360.178	96.912	-1.489
3500	49.623	364.491	327.761	128.557	359.244	89.182	-1.331
3600	50.717	365.904	328.801	133.574	358.418	81.478	-1.182
3700	51.805	367.309	329.822	138.700	357.700	73.796	-1.042
3800	52.875	368.705	330.827	143.934	357.091	66.131	-0.909
3900	53.916	370.092	331.816	149.274	356.590	58.481	-0.783
4000	54.920	371.469	332.790	154.716	356.194	50.842	-0.664
4100	55.877	372.837	333.751	160.256	355.901	43.212	-0.551
4200	56.781	374.195	334.697	165.890	355.707	35.588	-0.443
4300	57.624	375.541	335.632	171.611	355.606	27.968	-0.340
4400	58.401	376.875	336.554	177.412	355.593	20.349	-0.242
4500	59.109	378.195	337.465	183.289	355.662	12.729	-0.148
4600	59.744	379.502	338.364	189.232	355.807	5.107	-0.058
4700	60.306	380.793	339.253	195.235	356.020	-2.520	0.028
4800	60.793	382.067	340.132	201.290	356.296	-10.151	0.110
4900	61.205	383.325	341.001	207.391	356.626	-17.788	0.190
5000	61.545	384.565	341.860	213.529	-234.380	-19.702	0.206
5100	61.815	385.787	342.709	219.698	-235.641	-15.396	0.158
5200	62.016	386.989	343.549	225.890	-237.013	-11.064	0.111
5300	62.153	388.172	344.380	232.099	-238.501	-6.705	0.066
5400	62.229	389.335	345.202	238.318	-240.111	-2.317	0.022
5500	62.248	390.477	346.014	244.543	-241.844	2.102	-0.020
5600	62.214	391.598	346.818	250.766	-243.706	6.554	-0.061
5700	62.131	392.699	347.614	256.984	-245.697	11.041	-0.101
5800	62.004	393.778	348.400	263.191	-247.820	15.563	-0.140
5900	61.837	394.837	349.178	269.383	-250.074	20.123	-0.178
6000	61.634	395.874	349.948	275.557	-252.464	24.722	-0.215
