Bromosilylidyne (SiBr)	Br1Si1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-10.040	240.758	240.758	INFINITE
100	30.564	209.105	280.168	-7.106	242.029	224.194	-117.107
200	36.635	232.296	250.917	-3.724	241.782	206.398	-53.906
298.15	38.731	247.418	247.418	0.	235.325	189.859	-33.262
300	38.746	247.658	247.419	0.072	235.290	189.577	-33.008
400	39.025	258.862	248.945	3.967	219.824	177.510	-23.180
500	38.903	267.559	251.831	7.864	219.597	166.955	-17.442
600	38.742	274.638	255.060	11.746	219.244	156.458	-13.621
700	38.615	280.600	258.294	15.614	218.794	146.028	-10.897
800	38.529	285.750	261.412	19.471	218.266	135.668	-8.858
900	38.477	290.285	264.373	23.321	217.672	125.379	-7.277
1000	38.449	294.337	267.170	27.167	217.020	115.158	-6.015
1100	38.440	298.001	269.809	31.011	216.317	105.006	-4.986
1200	38.446	301.346	272.300	34.855	215.566	94.919	-4.132
1300	38.462	304.424	274.654	38.701	214.771	84.897	-3.411
1400	38.486	307.275	276.884	42.548	213.931	74.938	-2.796
1500	38.517	309.931	278.999	46.398	213.048	65.041	-2.265
1600	38.552	312.418	281.011	50.252	212.120	55.204	-1.802
1700	38.591	314.757	282.928	54.109	160.972	45.873	-1.409
1800	38.634	316.964	284.758	57.970	160.187	39.125	-1.135
1900	38.679	319.054	286.509	61.836	159.398	32.421	-0.891
2000	38.726	321.039	288.186	65.706	158.606	25.758	-0.673
2100	38.775	322.930	289.796	69.581	157.810	19.135	-0.476
2200	38.826	324.735	291.343	73.461	157.008	12.550	-0.298
2300	38.879	326.462	292.833	77.346	156.201	6.002	-0.136
2400	38.933	328.117	294.269	81.237	155.388	-0.511	0.011
2500	38.989	329.708	295.655	85.133	154.570	-6.990	0.146
2600	39.047	331.238	296.994	89.035	153.745	-13.436	0.270
2700	39.107	332.713	298.290	92.942	152.916	-19.850	0.384
2800	39.170	334.136	299.545	96.856	152.082	-26.234	0.489
2900	39.235	335.512	300.761	100.777	151.244	-32.587	0.587
3000	39.304	336.843	301.942	104.704	150.403	-38.912	0.678
3100	39.376	338.133	303.089	108.638	149.562	-45.209	0.762
3200	39.451	339.385	304.204	112.579	148.721	-51.478	0.840
3300	39.530	340.600	305.288	116.528	147.882	-57.721	0.914
3400	39.614	341.781	306.344	120.485	147.046	-63.939	0.982
3500	39.702	342.931	307.373	124.451	146.216	-70.133	1.047
3600	39.796	344.050	308.377	128.426	-238.758	-65.841	0.955
3700	39.894	345.142	309.356	132.410	-239.158	-61.033	0.862
3800	39.998	346.207	310.311	136.405	-239.548	-56.213	0.773
3900	40.107	347.248	311.245	140.410	-239.927	-51.384	0.688
4000	40.223	348.265	312.158	144.426	-240.292	-46.545	0.608
4100	40.344	349.259	313.051	148.455	-240.642	-41.697	0.531
4200	40.471	350.233	313.925	152.495	-240.975	-36.840	0.458
4300	40.604	351.187	314.780	156.549	-241.289	-31.976	0.388
4400	40.743	352.122	315.618	160.616	-241.582	-27.105	0.322
4500	40.888	353.039	316.440	164.698	-241.853	-22.227	0.258
4600	41.040	353.939	317.245	168.794	-242.100	-17.344	0.197
4700	41.197	354.824	318.035	172.906	-242.323	-12.456	0.138
4800	41.360	355.693	318.811	177.034	-242.520	-7.563	0.082
4900	41.529	356.547	319.572	181.178	-242.690	-2.666	0.028
5000	41.703	357.388	320.320	185.340	-242.832	2.234	-0.023
5100	41.883	358.216	321.055	189.519	-242.945	7.137	-0.073
5200	42.069	359.031	321.778	193.717	-243.029	12.041	-0.121
5300	42.259	359.834	322.488	197.933	-243.084	16.947	-0.167
5400	42.454	360.626	323.187	202.169	-243.108	21.853	-0.211
5500	42.654	361.406	323.875	206.424	-243.101	26.760	-0.254
5600	42.859	362.177	324.552	210.700	-243.064	31.666	-0.295
5700	43.067	362.937	325.219	214.996	-242.995	36.572	-0.335
5800	43.280	363.688	325.875	219.313	-242.896	41.475	-0.374
5900	43.496	364.430	326.523	223.652	-242.766	46.377	-0.411
6000	43.716	365.163	327.161	228.013	-242.603	51.276	-0.446
