Boron Carbide (BC)	C1B1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-8.700	821.997	821.997	INFINITE
100	29.109	176.645	234.607	-5.796	824.817	807.279	-421.679
200	29.172	196.831	211.250	-2.884	827.070	788.804	-206.015
250	29.358	203.357	209.042	-1.421	827.866	779.141	-162.793
298.15	29.700	208.555	208.555	0.	828.432	769.702	-134.849
300	29.716	208.739	208.556	0.055	828.450	769.338	-133.954
350	30.212	213.355	208.919	1.553	828.850	759.452	-113.342
400	30.788	217.427	209.733	3.077	829.087	749.520	-97.877
450	31.388	221.088	210.795	4.632	829.186	739.567	-85.847
500	31.975	224.425	211.993	6.216	829.168	729.609	-76.222
600	33.032	230.351	214.571	9.468	828.861	709.720	-61.787
700	33.898	235.510	217.202	12.816	828.281	689.906	-51.481
800	34.589	240.084	219.782	16.242	827.503	670.190	-43.759
900	35.138	244.191	222.270	19.729	826.574	650.580	-37.759
1000	35.578	247.917	224.651	23.266	825.525	631.080	-32.964
1100	35.934	251.325	226.923	26.842	824.378	611.691	-29.047
1200	36.227	254.464	229.089	30.450	823.146	592.409	-25.787
1300	36.471	257.374	231.154	34.086	821.841	573.234	-23.033
1400	36.677	260.085	233.125	37.743	820.469	554.161	-20.676
1500	36.854	262.621	235.008	41.420	819.037	535.189	-18.637
1600	37.007	265.005	236.809	45.113	817.549	516.314	-16.856
1700	37.142	267.252	238.534	48.821	816.008	497.533	-15.287
1800	37.262	269.379	240.189	52.541	814.417	478.845	-13.896
1900	37.369	271.396	241.779	56.273	812.778	460.247	-12.653
2000	37.466	273.316	243.308	60.015	811.093	441.736	-11.537
2100	37.555	275.146	244.781	63.766	809.363	423.310	-10.529
2200	37.637	276.895	246.201	67.526	807.589	404.968	-9.615
2300	37.713	278.570	247.573	71.293	805.772	386.708	-8.782
2400	37.784	280.176	248.898	75.068	753.654	369.596	-8.044
2500	37.851	281.720	250.180	78.850	751.676	353.634	-7.389
2600	37.914	283.206	251.422	82.638	749.689	337.752	-6.786
2700	37.974	284.638	252.626	86.432	747.694	321.946	-6.228
2800	38.032	286.020	253.794	90.233	745.692	306.214	-5.712
2900	38.087	287.355	254.928	94.039	743.681	290.554	-5.233
3000	38.140	288.647	256.031	97.850	741.663	274.963	-4.788
3100	38.191	289.899	257.103	101.667	739.637	259.440	-4.372
3200	38.241	291.112	258.147	105.488	737.603	243.982	-3.983
3300	38.289	292.290	259.164	109.315	735.562	228.588	-3.618
3400	38.336	293.433	260.155	113.146	733.514	213.256	-3.276
3500	38.382	294.545	261.122	116.982	731.458	197.984	-2.955
3600	38.427	295.627	262.066	120.822	729.395	182.771	-2.652
3700	38.471	296.681	262.987	124.667	727.325	167.616	-2.366
3800	38.514	297.707	263.887	128.516	725.248	152.516	-2.096
3900	38.557	298.708	264.767	132.370	723.163	137.471	-1.841
4000	38.598	299.685	265.628	136.228	721.072	122.480	-1.599
4100	38.640	300.639	266.470	140.090	718.973	107.542	-1.370
4200	38.681	301.570	267.295	143.956	237.018	99.678	-1.240
4300	38.721	302.481	268.103	147.826	235.992	96.420	-1.171
4400	38.761	303.371	268.894	151.700	234.958	93.186	-1.106
4500	38.800	304.243	269.670	155.578	233.914	89.976	-1.044
4600	38.839	305.096	270.431	159.460	232.861	86.789	-0.986
4700	38.878	305.932	271.177	163.346	231.799	83.625	-0.929
4800	38.916	306.751	271.910	167.235	230.727	80.484	-0.876
4900	38.954	307.554	272.629	171.129	229.645	77.365	-0.825
5000	38.992	308.341	273.336	175.026	228.552	74.268	-0.776
5100	39.030	309.113	274.030	178.927	227.449	71.193	-0.729
5200	39.067	309.872	274.712	182.832	226.335	68.140	-0.684
5300	39.104	310.616	275.382	186.741	225.209	65.109	-0.642
5400	39.141	311.347	276.041	190.653	224.072	62.099	-0.601
5500	39.178	312.066	276.690	194.569	222.923	59.110	-0.561
5600	39.215	312.772	277.328	198.489	221.761	56.142	-0.524
5700	39.251	313.467	277.956	202.412	220.587	53.195	-0.487
5800	39.287	314.150	278.574	206.339	219.400	50.268	-0.453
5900	39.324	314.822	279.183	210.269	218.199	47.363	-0.419
6000	39.360	315.483	279.782	214.204	216.985	44.477	-0.387
