Copper Cyanide (CuCN)	C1Cu1N1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-12.052	93.317	93.317	INFINITE
100	35.238	36.869	137.842	-10.097	93.093	98.495	-51.449
200	52.484	67.308	95.337	-5.606	93.790	103.689	-27.081
298.15	61.024	90.002	90.002	0.	94.977	108.306	-18.975
300	62.195	90.383	90.003	0.114	95.003	108.389	-18.872
400	66.735	108.930	92.500	6.572	96.486	112.628	-14.708
500	70.249	124.212	97.358	13.427	97.978	116.491	-12.170
600	73.136	137.282	102.949	20.600	99.462	120.054	-10.452
700	75.689	148.753	108.689	28.045	100.938	123.370	-9.206
800	78.032	159.016	114.350	35.733	102.427	126.473	-8.258
900	80.249	168.337	119.838	43.649	103.943	129.388	-7.509
1000	82.341	176.900	125.122	51.778	105.495	132.132	-6.902
