Difluoromethane (CH2F2)	C1H2F2(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-10.690	-443.005	-443.005	INFINITE
100	33.494	206.992	280.603	-7.361	-445.642	-439.137	229.381
200	36.678	230.995	250.396	-3.880	-448.111	-431.680	112.743
250	39.472	239.465	247.384	-1.980	-449.405	-427.424	89.305
298.15	42.859	246.698	246.698	0.	-450.659	-423.076	74.121
300	43.000	246.964	246.699	0.079	-450.706	-422.905	73.634
350	46.984	253.888	247.237	2.328	-451.967	-418.171	62.409
400	51.113	260.431	248.481	4.780	-453.153	-413.261	53.966
450	55.154	266.686	250.158	7.438	-454.252	-408.208	47.384
500	58.973	272.697	252.114	10.292	-455.257	-403.037	42.105
600	65.767	284.068	256.503	16.539	-456.991	-392.424	34.164
700	71.458	294.646	261.206	23.408	-458.383	-381.549	28.472
800	76.212	304.508	266.009	30.799	-459.476	-370.494	24.191
900	80.205	313.722	270.804	38.625	-460.313	-359.319	20.854
1000	83.577	322.352	275.532	46.819	-460.936	-348.062	18.181
1100	86.438	330.455	280.161	55.324	-461.384	-336.752	15.991
1200	88.876	338.083	284.673	64.093	-461.691	-325.407	14.165
1300	90.962	345.282	289.061	73.087	-461.885	-314.042	12.618
1400	92.754	352.090	293.322	82.275	-461.991	-302.665	11.293
1500	94.301	358.543	297.457	91.630	-462.030	-291.282	10.143
1600	95.641	364.673	301.468	101.129	-462.016	-279.900	9.138
1700	96.807	370.507	305.359	110.752	-461.963	-268.519	8.251
1800	97.825	376.070	309.134	120.485	-461.881	-257.142	7.462
1900	98.719	381.384	312.798	130.313	-461.776	-245.770	6.757
2000	99.507	386.468	316.355	140.225	-461.655	-234.404	6.122
2100	100.203	391.340	319.811	150.212	-461.520	-223.045	5.548
2200	100.822	396.016	323.169	160.263	-461.373	-211.693	5.026
2300	101.373	400.510	326.435	170.374	-461.215	-200.347	4.550
2400	101.866	404.835	329.612	180.536	-461.047	-189.009	4.114
2500	102.308	409.003	332.704	190.745	-460.868	-177.677	3.712
2600	102.706	413.023	335.717	200.996	-460.677	-166.353	3.342
2700	103.065	416.906	338.652	211.285	-460.473	-155.037	2.999
2800	103.391	420.660	341.514	221.608	-460.255	-143.729	2.681
2900	103.686	424.294	344.307	231.962	-460.022	-132.428	2.385
3000	103.955	427.813	347.032	242.344	-459.773	-121.136	2.109
3100	104.201	431.226	349.693	252.752	-459.507	-109.853	1.851
3200	104.426	434.538	352.293	263.184	-459.223	-98.578	1.609
3300	104.632	437.754	354.834	273.637	-458.922	-87.312	1.382
3400	104.822	440.881	357.319	284.110	-458.602	-76.056	1.168
3500	104.997	443.922	359.750	294.601	-458.264	-64.810	0.967
3600	105.158	446.882	362.130	305.109	-457.908	-53.573	0.777
3700	105.307	449.765	364.459	315.632	-457.534	-42.347	0.598
3800	105.445	452.576	366.741	326.170	-457.143	-31.131	0.428
3900	105.573	455.316	368.978	336.721	-456.735	-19.925	0.267
4000	105.693	457.991	371.170	347.284	-456.310	-8.730	0.114
4100	105.804	460.602	373.319	357.859	-455.870	2.454	-0.031
4200	105.907	463.153	375.428	368.445	-455.415	13.627	-0.169
4300	106.004	465.646	377.497	379.040	-454.947	24.789	-0.301
4400	106.095	468.084	379.528	389.645	-454.465	35.940	-0.427
4500	106.180	470.469	381.523	400.259	-453.970	47.080	-0.546
4600	106.259	472.804	383.482	410.881	-453.465	58.209	-0.661
4700	106.334	475.090	385.407	421.511	-452.948	69.327	-0.770
4800	106.404	477.329	387.299	432.148	-452.421	80.434	-0.875
4900	106.471	479.524	389.158	442.791	-451.885	91.529	-0.976
5000	106.533	481.676	390.987	453.442	-451.340	102.614	-1.072
5100	106.592	483.786	392.786	464.098	-450.787	113.687	-1.164
5200	106.647	485.856	394.556	474.760	-450.226	124.750	-1.253
5300	106.700	487.888	396.298	485.427	-449.658	135.802	-1.338
5400	106.750	489.883	398.013	496.100	-449.083	146.843	-1.420
5500	106.797	491.842	399.701	506.777	-448.501	157.873	-1.499
5600	106.842	493.767	401.364	517.459	-447.912	168.893	-1.575
5700	106.884	495.658	403.001	528.145	-447.317	179.902	-1.649
5800	106.925	497.518	404.615	538.836	-446.716	190.901	-1.719
5900	106.963	499.346	406.205	549.530	-446.108	201.889	-1.787
6000	106.999	501.144	407.772	560.228	-445.494	212.866	-1.853
