Trifluoromethylsilane (SiCH3F3)	C1H3F3Si1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	0.	-1189.803	-1189.803	INFINITE
100	52.770	238.288	382.810	-14.452	-1217.939	-1185.515	619.250
200	73.670	281.472	321.981	-8.102	-1225.568	-1150.071	300.368
298.15	90.876	314.202	314.202	0.	-1232.711	-1111.489	194.728
300	91.169	314.765	314.204	0.168	-1232.842	-1110.736	193.396
400	105.269	342.993	317.957	10.014	-1239.687	-1068.988	139.596
500	116.483	367.732	325.489	21.122	-1246.001	-1025.572	107.141
600	125.311	389.777	334.400	33.226	-1251.848	-980.930	85.398
700	132.382	409.640	343.753	46.121	-1257.315	-935.340	69.796
800	138.239	427.710	353.135	59.660	-1262.478	-888.988	58.045
900	143.135	444.282	362.355	73.735	-1267.405	-842.003	48.869
1000	147.277	459.582	371.322	88.260	-1272.160	-794.480	41.499
1100	150.875	473.793	379.999	103.173	-1276.794	-746.487	35.448
1200	153.888	487.052	388.374	118.414	-1281.357	-698.076	30.386
1300	156.523	499.476	396.448	133.937	-1285.889	-649.285	26.089
1400	158.825	511.161	404.228	149.706	-1290.420	-600.146	22.392
1500	160.917	522.192	411.728	165.695	-1294.970	-550.682	19.176
