Sulfur Chloride (SCl)	Cl1S1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.819	155.648	155.648	INFINITE
100	30.207	200.110	269.024	-6.891	156.430	147.122	-76.848
200	35.382	222.704	240.708	-3.601	156.560	137.743	-35.975
250	36.817	230.770	237.939	-1.792	156.540	133.040	-27.797
298.15	37.541	237.324	237.324	0.	156.465	128.520	-22.516
300	37.560	237.556	237.325	0.069	156.461	128.346	-22.347
350	37.916	243.376	237.783	1.958	156.323	123.671	-18.457
400	38.073	248.451	238.807	3.858	153.917	119.106	-15.554
450	38.130	252.939	240.132	5.763	153.009	114.800	-13.326
500	38.140	256.958	241.618	7.670	152.016	110.610	-11.555
600	38.110	263.909	244.771	11.483	150.428	102.484	-8.922
700	38.068	269.781	247.935	15.292	149.054	94.604	-7.059
800	38.037	274.862	250.991	19.097	147.798	86.912	-5.675
900	38.018	279.341	253.897	22.899	93.484	80.454	-4.669
1000	38.010	283.346	256.645	26.701	93.561	79.002	-4.127
1100	38.011	286.969	259.240	30.502	93.615	77.543	-3.682
1200	38.019	290.276	261.690	34.303	93.649	76.080	-3.312
1300	38.032	293.320	264.008	38.106	93.662	74.616	-2.998
1400	38.050	296.139	266.203	41.910	93.658	73.151	-2.729
1500	38.070	298.765	268.288	45.716	93.635	71.687	-2.496
1600	38.093	301.223	270.270	49.524	93.595	70.225	-2.293
1700	38.118	303.533	272.159	53.335	93.538	68.766	-2.113
1800	38.145	305.712	273.963	57.148	93.466	67.310	-1.953
1900	38.173	307.775	275.689	60.964	93.379	65.860	-1.811
2000	38.202	309.734	277.343	64.782	93.278	64.414	-1.682
2100	38.232	311.599	278.930	68.604	93.163	62.973	-1.566
2200	38.263	313.378	280.456	72.429	93.035	61.539	-1.461
2300	38.295	315.080	281.924	76.257	92.893	60.110	-1.365
2400	38.327	316.710	283.340	80.088	92.739	58.688	-1.277
2500	38.360	318.275	284.706	83.922	92.573	57.273	-1.197
2600	38.394	319.780	286.027	87.760	92.394	55.864	-1.122
2700	38.428	321.230	287.304	91.601	92.203	54.463	-1.054
2800	38.463	322.628	288.541	95.446	92.000	53.069	-0.990
2900	38.498	323.979	289.739	99.294	91.785	51.682	-0.931
3000	38.535	325.284	290.903	103.145	91.559	50.303	-0.876
3100	38.572	326.549	292.032	107.001	91.323	48.932	-0.824
3200	38.610	327.774	293.130	110.860	91.076	47.568	-0.776
3300	38.649	328.962	294.198	114.723	90.820	46.213	-0.731
3400	38.689	330.117	295.238	118.589	90.556	44.865	-0.689
3500	38.731	331.239	296.250	122.460	90.284	43.525	-0.650
3600	38.774	332.331	297.237	126.336	90.005	42.193	-0.612
3700	38.819	333.394	298.200	130.215	89.721	40.869	-0.577
3800	38.865	334.429	299.140	134.100	89.433	39.552	-0.544
3900	38.913	335.440	300.058	137.988	89.142	38.243	-0.512
4000	38.962	336.425	300.955	141.882	88.849	36.942	-0.482
4100	39.014	337.388	301.832	145.781	88.556	35.648	-0.454
4200	39.067	338.329	302.690	149.685	88.264	34.361	-0.427
4300	39.122	339.249	303.529	153.594	87.975	33.081	-0.402
4400	39.179	340.149	304.351	157.509	87.689	31.808	-0.378
4500	39.239	341.030	305.157	161.430	87.407	30.541	-0.355
4600	39.300	341.893	305.946	165.357	87.132	29.280	-0.332
4700	39.363	342.739	306.720	169.290	86.863	28.025	-0.311
4800	39.428	343.568	307.479	173.230	86.603	26.776	-0.291
4900	39.495	344.382	308.224	177.176	86.352	25.533	-0.272
5000	39.564	345.181	308.955	181.129	86.110	24.294	-0.254
5100	39.635	345.965	309.673	185.089	85.880	23.060	-0.236
5200	39.708	346.735	310.378	189.056	85.661	21.830	-0.219
5300	39.783	347.492	311.071	193.031	85.455	20.604	-0.203
5400	39.859	348.236	311.753	197.013	85.262	19.383	-0.187
5500	39.937	348.969	312.423	201.003	85.082	18.165	-0.173
5600	40.017	349.689	313.082	205.000	84.916	16.949	-0.158
5700	40.098	350.398	313.730	209.006	84.765	15.737	-0.144
5800	40.181	351.096	314.368	213.020	84.629	14.527	-0.131
5900	40.265	351.784	314.997	217.042	84.509	13.320	-0.118
6000	40.350	352.461	315.616	221.073	84.404	12.114	-0.105
