Zirconium Chloride (ZrCl)	Cl1Zr1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.411	206.112	206.112	INFINITE
100	29.736	219.074	283.981	-6.491	206.689	195.638	-102.191
200	33.033	240.706	257.458	-3.350	206.118	184.783	-48.260
250	34.211	248.212	254.882	-1.667	205.775	179.488	-37.502
298.15	35.004	254.309	254.309	0.	205.434	174.456	-30.564
300	35.030	254.526	254.310	0.065	205.421	174.264	-30.342
350	35.607	259.972	254.739	1.831	205.058	169.100	-25.237
400	36.032	264.755	255.698	3.623	204.685	163.989	-21.415
450	36.367	269.019	256.946	5.433	204.302	158.924	-18.447
500	36.655	272.866	258.348	7.259	203.910	153.903	-16.078
600	37.190	279.596	261.345	10.951	203.095	143.978	-12.534
700	37.744	285.370	264.374	14.698	202.239	134.192	-10.014
800	38.336	290.449	267.322	18.501	201.343	124.532	-8.131
900	38.947	294.999	270.149	22.365	200.400	114.986	-6.674
1000	39.553	299.134	272.844	26.291	199.401	105.549	-5.513
1100	40.131	302.932	275.409	30.275	198.339	96.215	-4.569
1200	40.667	306.447	277.851	34.315	193.496	87.202	-3.796
1300	41.155	309.721	280.178	38.407	192.833	78.371	-3.149
1400	41.590	312.788	282.399	42.545	192.169	69.591	-2.596
1500	41.972	315.670	284.522	46.723	191.489	60.859	-2.119
1600	42.302	318.390	286.554	50.937	190.776	52.173	-1.703
1700	42.586	320.963	288.503	55.182	190.016	43.533	-1.338
1800	42.825	323.404	290.375	59.453	189.192	34.940	-1.014
1900	43.025	325.725	292.175	63.746	188.291	26.395	-0.726
2000	43.191	327.937	293.908	68.057	187.296	17.899	-0.467
2100	43.327	330.047	295.579	72.383	186.195	9.456	-0.235
2200	43.438	332.065	297.192	76.721	163.650	1.814	-0.043
2300	43.526	333.998	298.751	81.070	161.877	-5.503	0.125
2400	43.597	335.852	300.258	85.426	160.105	-12.742	0.277
2500	43.653	337.633	301.718	89.789	158.331	-19.908	0.416
2600	43.696	339.346	303.132	94.156	156.554	-27.002	0.542
2700	43.729	340.996	304.504	98.528	154.771	-34.028	0.658
2800	43.755	342.587	305.836	102.902	152.982	-40.988	0.765
2900	43.775	344.123	307.130	107.278	151.185	-47.884	0.862
3000	43.790	345.607	308.388	111.657	149.381	-54.718	0.953
3100	43.801	347.043	309.612	116.036	147.568	-61.491	1.036
3200	43.811	348.434	310.804	120.417	145.746	-68.206	1.113
3300	43.819	349.782	311.964	124.798	143.917	-74.863	1.185
3400	43.825	351.090	313.096	129.180	142.080	-81.466	1.252
3500	43.832	352.361	314.200	133.563	140.236	-88.014	1.314
3600	43.839	353.596	315.277	137.947	138.386	-94.509	1.371
3700	43.846	354.797	316.329	142.331	136.531	-100.953	1.425
3800	43.854	355.966	317.357	146.716	134.673	-107.346	1.476
3900	43.863	357.105	318.361	151.102	132.812	-113.691	1.523
4000	43.873	358.216	319.344	155.489	130.950	-119.988	1.567
4100	43.884	359.300	320.305	159.877	129.088	-126.238	1.608
4200	43.896	360.357	321.246	164.266	127.229	-132.443	1.647
4300	43.909	361.390	322.168	168.656	125.372	-138.604	1.684
4400	43.924	362.400	323.071	173.047	123.520	-144.722	1.718
4500	43.940	363.387	323.956	177.441	121.674	-150.797	1.750
4600	43.957	364.353	324.824	181.835	119.835	-156.832	1.781
4700	43.975	365.299	325.675	186.232	118.005	-162.827	1.810
4800	43.994	366.225	326.510	190.630	-444.752	-157.165	1.710
4900	44.014	367.132	327.330	195.031	-446.213	-151.159	1.611
5000	44.035	368.021	328.135	199.433	-447.680	-145.122	1.516
5100	44.057	368.894	328.925	203.838	-449.150	-139.057	1.424
5200	44.079	369.749	329.702	208.245	-450.621	-132.962	1.336
5300	44.102	370.589	330.466	212.654	-452.090	-126.839	1.250
5400	44.126	371.414	331.217	217.065	-453.556	-120.689	1.167
5500	44.150	372.224	331.955	221.479	-455.016	-114.511	1.088
5600	44.175	373.019	332.681	225.895	-456.470	-108.307	1.010
5700	44.200	373.801	333.396	230.314	-457.915	-102.077	0.935
5800	44.226	374.570	334.099	234.735	-459.349	-95.821	0.863
5900	44.251	375.327	334.791	239.159	-460.772	-89.541	0.793
6000	44.277	376.071	335.473	243.586	-462.182	-83.238	0.725
