Zirconium Chloride (ZrCl4)	Cl4Zr1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-24.924	-981.585	-981.585	INFINITE
100	77.990	70.509	278.997	-20.849	-984.220	-952.064	497.307
200	108.282	135.750	192.067	-11.263	-982.903	-920.258	240.347
298.15	119.788	181.418	181.418	0.	-980.520	-889.999	155.924
300	119.913	182.160	181.421	0.222	-980.471	-889.438	154.865
400	125.394	217.491	186.201	12.516	-977.676	-859.509	112.240
500	128.700	245.848	195.387	25.230	-974.729	-830.306	86.741
600	131.127	269.533	205.825	38.225	-971.690	-801.705	69.795
700	133.135	289.899	216.415	51.439	-968.586	-773.619	57.728
800	134.976	307.799	226.741	64.846	-965.428	-745.981	48.708
900	136.649	323.794	236.652	78.428	-962.235	-718.742	41.715
1000	138.239	338.274	246.101	92.173	-959.019	-691.859	36.139
