Cobalt, Ion (Co+)	Co1+(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-6.291	1183.879				
100	20.787	155.255	197.384	-4.213						
200	21.116	169.718	180.341	-2.125						
250	21.635	174.482	178.709	-1.057						
298.15	22.272	178.346	178.346	0.	1191.597	1141.133	-199.922
300	22.297	178.484	178.346	0.041	1191.630	1140.819	-198.634
350	22.981	181.973	178.620	1.173	1192.539	1132.279	-168.983
400	23.606	185.083	179.237	2.338	1193.438	1123.609	-146.728
450	24.133	187.895	180.045	3.532	1194.323	1114.827	-129.406
500	24.559	190.461	180.961	4.750	1195.190	1105.947	-115.538
600	25.165	194.996	182.932	7.238	1196.863	1087.940	-94.714
700	25.585	198.908	184.941	9.777	1198.444	1069.660	-79.819
800	25.946	202.348	186.906	12.354	1199.499	1051.222	-68.638
900	26.307	205.425	188.796	14.966	1200.846	1032.605	-59.931
1000	26.681	208.216	190.601	17.615	1202.002	1013.848	-52.958
1100	27.067	210.777	192.320	20.303	1202.932	994.985	-47.248
1200	27.485	213.150	193.958	23.030	1203.602	976.049	-42.486
1300	28.002	215.369	195.521	25.803	1203.871	957.072	-38.456
1400	28.740	217.469	197.014	28.638	1203.626	938.094	-35.001
1500	29.883	219.488	198.445	31.564	1204.484	919.101	-32.006
1600	31.654	221.469	199.822	34.635	1205.740	900.036	-29.383
1700	34.287	223.462	201.154	37.924	1207.312	880.883	-27.066
1800	37.981	225.521	202.450	41.528	1192.933	861.922	-25.012
1900	42.853	227.700	203.721	45.560	1194.993	843.479	-23.189
2000	48.890	230.047	204.978	50.138	1197.599	824.913	-21.545
2100	55.916	232.599	206.232	55.371	1200.861	806.202	-20.053
2200	63.578	235.375	207.492	61.342	1204.861	787.318	-18.693
2300	71.383	238.374	208.769	68.091	1209.639	768.234	-17.447
2400	78.752	241.570	210.069	75.604	1215.180	748.927	-16.300
2500	85.120	244.919	211.395	83.808	1221.413	729.374	-15.239
2600	90.025	248.358	212.751	92.579	1228.212	709.559	-14.255
2700	93.179	251.820	214.134	101.755	1235.416	689.476	-13.339
2800	94.494	255.238	215.541	111.153	1242.843	669.120	-12.483
2900	94.073	258.552	216.967	120.595	1250.314	648.498	-11.681
3000	92.159	261.713	218.406	129.918	1257.665	627.620	-10.928
3100	89.071	264.687	219.852	138.988	1264.763	606.500	-10.219
3200	85.153	267.455	221.297	147.705	896.695	586.930	-9.581
3300	80.724	270.008	222.735	156.002	904.447	577.129	-9.135
3400	76.057	272.349	224.160	163.842	911.740	567.100	-8.712
3500	71.364	274.486	225.568	171.212	918.561	556.863	-8.311
3600	66.801	276.432	226.954	178.119	924.913	546.438	-7.929
3700	62.471	278.202	228.316	184.580	930.815	535.842	-7.565
3800	58.437	279.814	229.650	190.623	936.291	525.093	-7.218
3900	54.728	281.283	230.955	196.279	941.371	514.205	-6.887
4000	51.353	282.626	232.231	201.580	946.088	503.191	-6.571
4100	48.306	283.856	233.475	206.560	950.474	492.064	-6.269
4200	45.568	284.986	234.688	211.251	954.558	480.833	-5.980
4300	43.119	286.029	235.870	215.683	958.370	469.508	-5.703
4400	40.933	286.995	237.021	219.884	961.936	458.098	-5.438
4500	38.985	287.893	238.142	223.878	965.280	446.609	-5.184
4600	37.250	288.730	239.233	227.688	968.422	435.048	-4.940
4700	35.707	289.514	240.294	231.334	971.384	423.420	-4.706
4800	34.332	290.251	241.327	234.835	974.180	411.732	-4.481
4900	33.107	290.946	242.333	238.206	976.826	399.986	-4.264
5000	32.015	291.604	243.312	241.461	979.335	388.189	-4.055
5100	31.040	292.228	244.265	244.613	981.718	376.342	-3.855
5200	30.168	292.822	245.193	247.672	983.985	364.449	-3.661
5300	29.386	293.390	246.097	250.649	986.145	352.514	-3.474
5400	28.686	293.932	246.978	253.552	988.206	340.540	-3.294
5500	28.056	294.453	247.837	256.389	990.173	328.528	-3.120
5600	27.489	294.953	248.673	259.166	992.053	316.481	-2.952
5700	26.978	295.435	249.490	261.889	993.851	304.401	-2.790
5800	26.517	295.900	250.286	264.563	995.570	292.290	-2.632
5900	26.099	296.350	251.063	267.193	997.259	280.147	-2.480
6000	25.721	296.785	251.821	269.784	998.843	267.979	-2.333
