Copper (Cu)	Cu1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-6.197	336.409	336.409	INFINITE
100	20.786	143.690	184.877	-4.119	337.819	324.454	-169.477
200	20.786	158.097	168.298	-2.040	337.885	311.011	-81.228
250	20.786	162.736	166.739	-1.001	337.761	304.306	-63.581
298.15	20.786	166.397	166.397	0.	337.600	297.877	-52.187
300	20.786	166.525	166.397	0.038	337.593	297.630	-51.822
350	20.786	169.730	166.650	1.078	337.396	290.985	-43.427
400	20.786	172.505	167.213	2.117	337.178	284.369	-37.135
450	20.786	174.953	167.939	3.156	336.942	277.782	-32.244
500	20.786	177.144	168.752	4.196	336.691	271.222	-28.334
600	20.786	180.933	170.476	6.274	336.150	258.179	-22.476
700	20.786	184.137	172.205	8.353	335.554	245.230	-18.299
800	20.786	186.913	173.874	10.431	334.909	232.370	-15.172
900	20.786	189.361	175.461	12.510	334.211	219.594	-12.745
1000	20.787	191.551	176.963	14.589	333.456	206.898	-10.807
1100	20.788	193.533	178.380	16.667	332.629	194.282	-9.226
1200	20.793	195.342	179.719	18.746	331.713	181.745	-7.911
1300	20.803	197.006	180.986	20.826	330.665	169.289	-6.802
1400	20.823	198.549	182.186	22.907	316.330	157.326	-5.870
1500	20.856	199.986	183.325	24.991	315.130	146.011	-5.085
1600	20.909	201.334	184.409	27.079	313.933	134.775	-4.400
1700	20.985	202.604	185.443	29.174	312.743	123.614	-3.798
1800	21.091	203.806	186.430	31.277	311.562	112.523	-3.265
1900	21.230	204.950	187.375	33.393	310.394	101.497	-2.790
2000	21.407	206.043	188.281	35.525	309.241	90.533	-2.364
2100	21.622	207.093	189.152	37.676	308.107	79.625	-1.981
2200	21.878	208.104	189.990	39.850	306.998	68.771	-1.633
2300	22.173	209.083	190.799	42.053	305.915	57.967	-1.316
2400	22.507	210.034	191.581	44.286	304.865	47.209	-1.027
2500	22.878	210.960	192.338	46.555	303.849	36.495	-0.763
2600	23.282	211.865	193.071	48.863	302.873	25.820	-0.519
2700	23.715	212.752	193.784	51.213	301.938	15.182	-0.294
2800	24.174	213.622	194.477	53.607	301.048	4.578	-0.085
2843.261	24.379	213.995	194.771	54.657	FUGACITY = 1 bar
2900	24.653	214.479	195.152	56.048	0. 0. 0.
3000	25.147	215.323	195.810	58.538	0.	0.	0.
3100	25.652	216.156	196.453	61.078	0.	0.	0.
3200	26.162	216.978	197.082	63.669	0.	0.	0.
3300	26.673	217.791	197.697	66.310	0.	0.	0.
3400	27.180	218.595	198.300	69.003	0.	0.	0.
3500	27.680	219.390	198.891	71.746	0.	0.	0.
3600	28.168	220.177	199.472	74.539	0.	0.	0.
3700	28.641	220.955	200.042	77.379	0.	0.	0.
3800	29.097	221.725	200.602	80.266	0.	0.	0.
3900	29.533	222.486	201.154	83.198	0.	0.	0.
4000	29.948	223.239	201.696	86.172	0.	0.	0.
4100	30.339	223.984	202.231	89.187	0.	0.	0.
4200	30.707	224.719	202.758	92.239	0.	0.	0.
4300	31.051	225.446	203.277	95.327	0.	0.	0.
4400	31.370	226.163	203.789	98.449	0.	0.	0.
4500	31.665	226.872	204.294	101.601	0.	0.	0.
4600	31.936	227.571	204.792	104.781	0.	0.	0.
4700	32.185	228.260	205.284	107.987	0.	0.	0.
4800	32.413	228.940	205.770	111.217	0.	0.	0.
4900	32.621	229.611	206.250	114.469	0.	0.	0.
5000	32.809	230.272	206.724	117.741	0.	0.	0.
5100	32.981	230.923	207.192	121.030	0.	0.	0.
5200	33.137	231.565	207.654	124.336	0.	0.	0.
5300	33.279	232.198	208.111	127.657	0.	0.	0.
5400	33.409	232.821	208.563	130.992	0.	0.	0.
5500	33.530	233.435	209.010	134.339	0.	0.	0.
5600	33.641	234.040	209.452	137.697	0.	0.	0.
5700	33.746	234.637	209.888	141.066	0.	0.	0.
5800	33.845	235.224	210.320	144.446	0.	0.	0.
5900	33.941	235.804	210.747	147.835	0.	0.	0.
6000	34.035	236.375	211.169	151.234	0.	0.	0.
