Potassium Fluoride (KF)	F1K1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-9.453	-324.729	-324.729	INFINITE
100	29.837	191.161	256.478	-6.532	-324.993	-332.031	173.435
200	33.260	212.918	229.781	-3.373	-325.893	-338.713	88.463
250	34.438	220.474	227.187	-1.678	-326.325	-341.868	71.429
298.15	35.228	226.612	226.612	0.	-326.770	-344.822	60.411
300	35.253	226.830	226.612	0.065	-326.789	-344.934	60.058
350	35.826	232.309	227.044	1.843	-329.697	-347.821	51.909
400	36.242	237.122	228.009	3.645	-330.297	-350.369	45.753
450	36.553	241.409	229.264	5.465	-330.874	-352.843	40.957
500	36.793	245.273	230.675	7.299	-331.433	-355.254	37.113
600	37.141	252.015	233.686	10.997	-332.511	-359.916	31.333
700	37.385	257.759	236.725	14.724	-333.556	-364.400	27.192
800	37.570	262.764	239.673	18.472	-334.590	-368.736	24.076
900	37.719	267.198	242.490	22.237	-335.635	-372.942	21.645
1000	37.846	271.179	245.163	26.015	-336.714	-377.030	19.694
1100	37.958	274.791	247.695	29.806	-416.803	-376.397	17.874
1200	38.060	278.098	250.093	33.607	-416.953	-372.717	16.224
1300	38.155	281.148	252.366	37.417	-417.106	-369.024	14.828
1400	38.244	283.979	254.524	41.237	-417.260	-365.320	13.630
1500	38.329	286.621	256.577	45.066	-417.417	-361.604	12.592
1600	38.412	289.097	258.533	48.903	-417.574	-357.878	11.684
1700	38.492	291.428	260.400	52.748	-417.734	-354.143	10.881
1800	38.570	293.631	262.185	56.601	-417.896	-350.397	10.168
1900	38.647	295.718	263.896	60.462	-418.060	-346.643	9.530
2000	38.722	297.702	265.537	64.331	-418.227	-342.880	8.955
2100	38.797	299.593	267.114	68.207	-418.396	-339.108	8.435
2200	38.871	301.400	268.632	72.090	-418.567	-335.329	7.962
2300	38.944	303.129	270.094	75.981	-418.743	-331.541	7.530
2400	39.017	304.788	271.506	79.879	-418.921	-327.746	7.133
2500	39.089	306.383	272.869	83.784	-419.105	-323.943	6.768
2600	39.160	307.917	274.188	87.697	-419.294	-320.133	6.432
2700	39.232	309.396	275.464	91.616	-419.490	-316.315	6.119
2800	39.303	310.824	276.702	95.543	-419.694	-312.490	5.830
2900	39.374	312.205	277.902	99.477	-419.909	-308.658	5.560
3000	39.444	313.541	279.068	103.418	-420.135	-304.818	5.307
3100	39.515	314.835	280.201	107.366	-420.376	-300.970	5.071
3200	39.585	316.091	281.303	111.321	-420.635	-297.114	4.850
3300	39.655	317.310	282.376	115.283	-420.905	-293.251	4.642
3400	39.725	318.495	283.421	119.252	-421.203	-289.378	4.446
3500	39.795	319.648	284.440	123.228	-421.526	-285.496	4.261
3600	39.865	320.770	285.433	127.211	-421.880	-281.605	4.086
3700	39.935	321.863	286.403	131.201	-422.269	-277.703	3.920
3800	40.004	322.929	287.350	135.198	-422.696	-273.790	3.764
3900	40.074	323.969	288.276	139.202	-423.167	-269.865	3.614
4000	40.143	324.984	289.181	143.213	-423.679	-265.929	3.473
4100	40.213	325.976	290.067	147.230	-424.245	-261.979	3.338
4200	40.282	326.946	290.933	151.255	-424.872	-258.013	3.209
4300	40.351	327.895	291.782	155.287	-425.561	-254.033	3.086
4400	40.421	328.823	292.613	159.325	-426.040	-250.062	2.969
4500	40.490	329.733	293.428	163.371	-426.800	-246.054	2.856
4600	40.559	330.623	294.227	167.423	-427.624	-242.029	2.748
4700	40.628	331.496	295.011	171.483	-428.496	-237.986	2.645
4800	40.697	332.352	295.780	175.549	-429.329	-233.937	2.546
4900	40.766	333.192	296.535	179.622	-430.335	-229.856	2.450
5000	40.835	334.016	297.276	183.702	-431.413	-225.754	2.358
5100	40.904	334.826	298.004	187.789	-432.564	-221.629	2.270
5200	40.973	335.621	298.720	191.883	-433.790	-217.481	2.185
5300	41.042	336.402	299.424	195.984	-435.090	-213.309	2.102
5400	41.111	337.170	300.116	200.091	-436.466	-209.112	2.023
5500	41.180	337.925	300.796	204.206	-437.917	-204.889	1.946
5600	41.249	338.667	301.466	208.327	-439.442	-200.638	1.871
5700	41.318	339.398	302.125	212.456	-440.697	-196.407	1.800
5800	41.387	340.117	302.774	216.591	-442.325	-192.108	1.730
5900	41.456	340.825	303.413	220.733	-444.020	-187.779	1.662
6000	41.525	341.523	304.042	224.882	-445.779	-183.421	1.597
