Phosphorus Fluoride (PF2)	F2P1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-11.209	-485.280	-485.280	INFINITE
100	34.623	220.645	299.211	-7.857	-485.722	-488.981	255.417
200	39.685	246.149	266.890	-4.148	-487.206	-491.880	128.466
250	42.344	255.291	263.680	-2.097	-487.749	-492.985	103.004
298.15	44.717	262.957	262.957	0.	-488.256	-493.948	86.538
300	44.803	263.233	262.957	0.083	-488.275	-493.983	86.010
350	46.927	270.304	263.511	2.378	-489.505	-494.823	73.848
400	48.696	276.690	264.766	4.770	-490.060	-495.544	64.711
450	50.142	282.511	266.419	7.242	-490.571	-496.198	57.597
500	51.319	287.858	268.299	9.779	-491.048	-496.797	51.900
600	53.065	297.379	272.372	15.004	-491.929	-497.863	43.343
700	54.253	305.654	276.548	20.374	-492.744	-498.787	37.220
800	55.086	312.956	280.652	25.843	-493.517	-499.597	32.620
900	55.687	319.481	284.610	31.383	-494.263	-500.312	29.037
1000	56.134	325.372	288.397	36.976	-494.994	-500.945	26.167
1100	56.473	330.739	292.006	42.607	-495.715	-501.505	23.814
1200	56.736	335.664	295.441	48.268	-560.005	-500.921	21.805
1300	56.944	340.214	298.713	53.952	-559.947	-496.000	19.930
1400	57.111	344.441	301.830	59.655	-559.898	-491.083	18.323
1500	57.248	348.386	304.804	65.373	-559.857	-486.169	16.930
1600	57.360	352.084	307.644	71.104	-559.825	-481.258	15.711
1700	57.454	355.564	310.362	76.845	-559.803	-476.348	14.636
1800	57.533	358.851	312.965	82.594	-559.790	-471.439	13.681
1900	57.600	361.963	315.463	88.351	-559.784	-466.531	12.826
2000	57.658	364.919	317.862	94.114	-559.783	-461.623	12.056
2100	57.707	367.733	320.171	99.882	-559.786	-456.715	11.360
2200	57.751	370.419	322.394	105.655	-559.787	-451.807	10.727
2300	57.789	372.987	324.538	111.432	-559.786	-446.899	10.149
2400	57.822	375.447	326.609	117.213	-559.778	-441.991	9.620
2500	57.852	377.808	328.610	122.996	-559.760	-437.083	9.132
2600	57.879	380.078	330.546	128.783	-559.728	-432.177	8.683
2700	57.904	382.263	332.421	134.572	-559.679	-427.272	8.266
2800	57.926	384.369	334.239	140.364	-559.611	-422.369	7.879
2900	57.948	386.402	336.003	146.157	-559.520	-417.469	7.519
3000	57.968	388.367	337.716	151.953	-559.405	-412.573	7.184
3100	57.987	390.268	339.381	157.751	-559.262	-407.681	6.869
3200	58.007	392.109	341.000	163.551	-559.089	-402.794	6.575
3300	58.027	393.895	342.576	169.352	-558.886	-397.913	6.298
3400	58.047	395.627	344.111	175.156	-558.651	-393.038	6.038
3500	58.068	397.310	345.607	180.962	-558.383	-388.171	5.793
3600	58.091	398.946	347.066	186.770	-558.080	-383.312	5.562
3700	58.115	400.538	348.490	192.580	-557.743	-378.462	5.343
3800	58.142	402.088	349.880	198.393	-557.370	-373.621	5.136
3900	58.171	403.599	351.238	204.208	-556.962	-368.791	4.939
4000	58.202	405.072	352.565	210.027	-556.518	-363.972	4.753
4100	58.237	406.510	353.864	215.849	-556.037	-359.164	4.576
4200	58.275	407.914	355.134	221.675	-555.521	-354.368	4.407
4300	58.316	409.285	356.377	227.504	-554.969	-349.586	4.247
4400	58.361	410.626	357.595	233.338	-554.381	-344.816	4.093
4500	58.410	411.938	358.788	239.176	-553.757	-340.060	3.947
4600	58.462	413.223	359.958	245.020	-553.098	-335.318	3.808
4700	58.519	414.481	361.104	250.869	-552.404	-330.591	3.674
4800	58.580	415.713	362.229	256.724	-551.675	-325.879	3.546
4900	58.646	416.922	363.333	262.585	-550.911	-321.183	3.424
5000	58.716	418.107	364.417	268.453	-550.114	-316.503	3.306
5100	58.790	419.271	365.481	274.329	-549.282	-311.839	3.194
5200	58.869	420.413	366.526	280.211	-548.417	-307.191	3.086
5300	58.952	421.535	367.554	286.102	-547.519	-302.561	2.982
5400	59.039	422.638	368.564	292.002	-546.588	-297.948	2.882
5500	59.131	423.722	369.557	297.910	-545.624	-293.353	2.786
5600	59.226	424.789	370.534	303.828	-544.628	-288.774	2.694
5700	59.326	425.838	371.495	309.756	-543.600	-284.215	2.605
5800	59.430	426.870	372.440	315.694	-542.540	-279.674	2.519
5900	59.537	427.887	373.372	321.642	-541.449	-275.150	2.436
6000	59.649	428.889	374.289	327.601	-540.327	-270.647	2.356
