Molybdenum Fluoride (MoF5)	F5Mo1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-21.132	-1235.878	-1235.878	INFINITE
100	61.633	259.654	426.629	-16.697	-1239.202	-1221.872	638.241
200	85.339	310.140	356.534	-9.279	-1240.948	-1203.754	314.388
250	94.948	330.241	349.304	-4.766	-1241.309	-1194.408	249.558
298.15	102.763	347.655	347.655	0.	-1241.393	-1185.363	207.671
300	103.034	348.291	347.657	0.190	-1241.392	-1185.016	206.330
350	109.545	364.682	348.936	5.511	-1241.257	-1175.628	175.453
400	114.655	379.658	351.854	11.121	-1240.964	-1166.271	152.299
450	118.614	393.401	355.718	16.957	-1240.561	-1156.957	134.296
500	121.664	406.063	360.127	22.968	-1240.081	-1147.693	119.899
600	125.825	428.645	369.712	35.360	-1238.989	-1129.316	98.316
700	128.324	448.245	379.562	48.078	-1237.823	-1111.129	82.913
800	129.862	465.489	389.247	60.993	-1236.652	-1093.110	71.373
900	130.837	480.845	398.587	74.032	-1235.516	-1075.236	62.405
1000	131.478	494.665	407.516	87.150	-1234.435	-1057.485	55.237
1100	131.918	507.218	416.018	100.321	-1233.426	-1039.840	49.378
1200	132.235	518.711	424.103	113.529	-1232.501	-1022.282	44.499
1300	132.478	529.305	431.794	126.765	-1231.669	-1004.799	40.373
1400	132.676	539.130	439.114	140.023	-1230.938	-987.375	36.839
1500	132.847	548.290	446.090	153.300	-1230.313	-970.001	33.778
1600	133.001	556.869	452.749	166.592	-1229.799	-952.664	31.101
1700	133.147	564.936	459.113	179.899	-1229.401	-935.355	28.740
1800	133.285	572.551	465.206	193.221	-1229.120	-918.067	26.642
1900	133.420	579.761	471.047	206.556	-1228.959	-900.792	24.764
2000	133.550	586.608	476.655	219.905	-1228.919	-883.521	23.075
2100	133.676	593.127	482.047	233.266	-1229.002	-866.250	21.547
2200	133.799	599.348	487.239	246.640	-1229.208	-848.972	20.157
2300	133.916	605.298	492.244	260.026	-1229.537	-831.681	18.888
2400	134.028	611.000	497.074	273.423	-1229.992	-814.374	17.724
2500	134.135	616.474	501.741	286.831	-1230.573	-797.045	16.653
2600	134.236	621.736	506.256	300.250	-1231.296	-779.690	15.664
2700	134.331	626.804	510.627	313.678	-1232.191	-762.304	14.748
2800	134.419	631.691	514.864	327.116	-1233.313	-744.881	13.896
2900	134.502	636.410	518.974	340.562	-1270.622	-727.363	13.101
3000	134.579	640.971	522.965	354.016	-1270.386	-708.634	12.338
3100	134.649	645.385	526.844	367.478	-1270.077	-689.915	11.625
3200	134.714	649.661	530.615	380.946	-1269.689	-671.205	10.956
3300	134.774	653.807	534.286	394.420	-1269.220	-652.510	10.328
3400	134.829	657.831	537.861	407.901	-1268.666	-633.830	9.738
3500	134.880	661.740	541.344	421.386	-1268.026	-615.167	9.181
3600	134.926	665.541	544.742	434.876	-1267.297	-596.524	8.655
3700	134.969	669.238	548.057	448.371	-1266.480	-577.902	8.159
3800	135.008	672.838	551.293	461.870	-1265.573	-559.305	7.688
3900	135.044	676.345	554.455	475.373	-1264.577	-540.731	7.242
4000	135.078	679.765	557.545	488.879	-1263.492	-522.184	6.819
4100	135.109	683.101	560.567	502.388	-1262.319	-503.666	6.417
4200	135.138	686.357	563.523	515.900	-1261.059	-485.177	6.034
4300	135.166	689.537	566.417	529.416	-1259.713	-466.720	5.670
4400	135.192	692.645	569.251	542.934	-1258.282	-448.295	5.322
4500	135.217	695.683	572.027	556.454	-1256.769	-429.902	4.990
4600	135.241	698.655	574.747	569.977	-1255.174	-411.545	4.673
4700	135.265	701.564	577.415	583.502	-1253.500	-393.223	4.370
4800	135.288	704.412	580.031	597.030	-1251.748	-374.938	4.080
4900	135.310	707.202	582.598	610.560	-1249.921	-356.690	3.802
5000	135.332	709.936	585.117	624.092	-1839.405	-332.748	3.476
5100	135.354	712.616	587.591	637.626	-1839.111	-302.618	3.099
5200	135.376	715.245	590.021	651.163	-1838.894	-272.493	2.737
5300	135.398	717.823	592.408	664.702	-1838.752	-242.371	2.389
5400	135.420	720.355	594.754	678.243	-1838.688	-212.252	2.053
5500	135.443	722.840	597.060	691.786	-1838.698	-182.133	1.730
5600	135.465	725.280	599.328	705.331	-1838.785	-152.012	1.418
5700	135.488	727.678	601.559	718.879	-1838.945	-121.891	1.117
5800	135.510	730.035	603.754	732.429	-1839.179	-91.766	0.826
5900	135.533	732.351	605.914	745.981	-1839.483	-61.635	0.546
6000	135.556	734.629	608.040	759.535	-1839.859	-31.500	0.274
