Sodium Hydroxide, Ion (NaOH+)	H1Na1O1+(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-11.693	674.940				
100	34.226	196.325	283.048	-8.672						
200	44.889	223.761	247.019	-4.652						
250	47.591	234.091	243.429	-2.334						
298.15	49.257	242.626	242.626	0.	677.808	664.619	-116.438
300	49.308	242.931	242.627	0.091	677.832	664.537	-115.706
350	50.443	250.623	243.232	2.587	678.451	662.271	-98.839
400	51.226	257.413	244.589	5.130	676.389	660.126	-86.204
450	51.790	263.481	246.357	7.706	676.953	658.060	-76.386
500	52.216	268.960	248.348	10.306	677.552	655.929	-68.524
600	52.846	278.539	252.604	15.561	678.825	651.486	-56.717
700	53.352	286.724	256.908	20.872	680.165	646.825	-48.267
800	53.836	293.880	261.091	26.231	681.550	641.968	-41.916
900	54.328	300.249	265.095	31.639	682.959	636.935	-36.967
1000	54.832	305.999	268.902	37.097	684.375	631.746	-32.999
1100	55.337	311.249	272.517	42.606	685.780	626.415	-29.746
1200	55.832	316.085	275.949	48.164	590.393	623.397	-27.136
1300	56.307	320.573	279.211	53.771	592.648	626.056	-25.155
1400	56.755	324.763	282.316	59.425	594.913	628.541	-23.451
1500	57.174	328.693	285.279	65.121	597.185	630.863	-21.969
1600	57.561	332.395	288.109	70.858	599.463	633.034	-20.666
1700	57.918	335.896	290.818	76.633	601.744	635.062	-19.513
1800	58.244	339.216	293.415	82.441	604.027	636.956	-18.484
1900	58.541	342.373	295.909	88.280	606.310	638.723	-17.560
2000	58.813	345.383	298.308	94.148	608.590	640.371	-16.725
2100	59.060	348.258	300.619	100.042	610.866	641.904	-15.966
2200	59.286	351.011	302.847	105.960	613.136	643.329	-15.275
2300	59.491	353.651	304.999	111.899	615.399	644.650	-14.640
2400	59.679	356.187	307.080	117.857	617.652	645.873	-14.057
2500	59.850	358.627	309.093	123.834	619.894	647.003	-13.518
2600	60.007	360.977	311.044	129.827	622.124	648.043	-13.019
2700	60.150	363.244	312.935	135.835	624.339	648.998	-12.556
2800	60.282	365.434	314.771	141.856	626.539	649.872	-12.124
2900	60.402	367.552	316.555	147.891	628.722	650.666	-11.720
3000	60.514	369.602	318.289	153.937	630.886	651.386	-11.342
3100	60.616	371.587	319.977	159.993	633.029	652.034	-10.987
3200	60.711	373.513	321.620	166.060	635.149	652.613	-10.653
3300	60.798	375.383	323.221	172.135	637.246	653.126	-10.338
3400	60.880	377.199	324.782	178.219	639.316	653.576	-10.041
3500	60.955	378.965	326.305	184.311	641.359	653.966	-9.760
3600	61.025	380.683	327.792	190.410	643.371	654.297	-9.494
3700	61.091	382.356	329.244	196.516	645.352	654.573	-9.241
3800	61.152	383.986	330.663	202.628	647.298	654.797	-9.001
3900	61.209	385.575	332.051	208.746	649.208	654.970	-8.772
4000	61.263	387.126	333.408	214.870	651.078	655.093	-8.555
4100	61.313	388.639	334.737	220.998	652.907	655.171	-8.347
4200	61.361	390.117	336.038	227.132	654.694	655.204	-8.149
4300	61.406	391.562	337.313	233.270	656.432	655.196	-7.959
4400	61.449	392.974	338.562	239.413	658.163	655.144	-7.778
4500	61.489	394.355	339.786	245.560	659.823	655.055	-7.604
4600	61.528	395.707	340.987	251.711	661.421	654.931	-7.437
4700	61.565	397.031	342.166	257.866	662.965	654.774	-7.277
4800	61.601	398.327	343.322	264.024	664.451	654.584	-7.123
4900	61.635	399.598	344.458	270.186	665.877	654.364	-6.976
5000	61.669	400.843	345.573	276.351	667.247	654.114	-6.833
5100	61.701	402.065	346.669	282.520	668.545	653.838	-6.697
5200	61.732	403.263	347.746	288.691	669.775	653.538	-6.565
5300	61.762	404.439	348.804	294.866	670.933	653.215	-6.438
5400	61.792	405.594	349.845	301.044	672.018	652.870	-6.315
5500	61.821	406.728	350.869	307.224	673.026	652.505	-6.197
5600	61.850	407.842	351.877	313.408	673.955	652.124	-6.083
5700	61.878	408.937	352.868	319.594	674.803	651.727	-5.972
5800	61.906	410.014	353.844	325.784	675.568	651.316	-5.866
5900	61.933	411.072	354.805	331.975	676.246	650.890	-5.763
6000	61.961	412.113	355.752	338.170	676.996	650.438	-5.663
