Tungstic Acid (O2W(OH)2)	H2O4W1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-21.062	-896.091	-896.091	INFINITE
100	60.677	265.197	430.296	-16.510	-901.000	-881.824	460.618
200	84.476	314.672	360.846	-9.235	-904.248	-861.251	224.936
250	94.555	334.639	353.644	-4.751	-905.233	-850.380	177.677
298.15	102.527	351.999	351.999	0.	-905.836	-839.756	147.122
300	102.802	352.634	352.001	0.190	-905.853	-839.346	146.143
350	109.449	368.999	353.278	5.502	-906.167	-828.233	123.607
400	114.836	383.977	356.193	11.114	-906.241	-817.091	106.701
450	119.269	397.767	360.056	16.970	-906.131	-805.953	93.553
500	122.986	410.531	364.473	23.029	-905.881	-794.834	83.036
600	128.916	433.504	374.107	35.638	-905.077	-772.694	67.269
700	133.483	453.733	384.066	48.767	-903.996	-750.713	56.019
800	137.120	471.804	393.924	62.304	-902.731	-728.900	47.592
900	140.070	488.130	403.499	76.168	-901.341	-707.253	41.048
1000	142.491	503.017	412.717	90.300	-899.871	-685.766	35.821
1100	144.492	516.695	421.557	104.652	-898.355	-664.429	31.551
1200	146.159	529.341	430.018	119.187	-896.820	-643.230	27.999
1300	147.555	541.097	438.116	133.875	-895.289	-622.160	24.999
1400	148.733	552.076	445.868	148.691	-893.780	-601.207	22.431
1500	149.733	562.373	453.296	163.616	-892.309	-580.361	20.210
1600	150.587	572.064	460.419	178.633	-890.887	-559.611	18.269
1700	151.320	581.216	467.258	193.729	-889.525	-538.948	16.560
1800	151.954	589.884	473.832	208.894	-888.231	-518.364	15.043
1900	152.504	598.114	480.158	224.117	-887.011	-497.850	13.687
2000	152.985	605.949	486.253	239.392	-885.872	-477.397	12.468
2100	153.407	613.424	492.132	254.712	-884.818	-457.000	11.367
2200	153.779	620.569	497.809	270.072	-883.853	-436.649	10.367
2300	154.109	627.412	503.297	285.467	-882.979	-416.342	9.455
2400	154.402	633.978	508.606	300.892	-882.199	-396.072	8.620
2500	154.664	640.286	513.748	316.346	-881.513	-375.831	7.853
2600	154.898	646.357	518.732	331.824	-880.921	-355.615	7.144
2700	155.109	652.207	523.568	347.325	-880.448	-335.420	6.489
2800	155.300	657.851	528.263	362.846	-880.131	-315.240	5.881
2900	155.472	663.304	532.826	378.384	-880.008	-295.069	5.315
3000	155.628	668.577	537.264	393.939	-880.106	-274.897	4.786
3100	155.771	673.683	541.583	409.509	-880.467	-254.718	4.292
3200	155.901	678.630	545.789	425.093	-881.123	-234.524	3.828
3300	156.020	683.429	549.887	440.689	-882.098	-214.304	3.392
3400	156.129	688.089	553.884	456.297	-883.426	-194.048	2.981
3500	156.229	692.616	557.783	471.915	-885.171	-173.748	2.593
3600	156.321	697.018	561.590	487.542	-887.428	-153.391	2.226
3700	156.407	701.303	565.308	503.179	-925.062	-132.773	1.874
3800	156.486	705.475	568.942	518.823	-925.055	-111.359	1.531
3900	156.559	709.540	572.495	534.476	-925.087	-89.945	1.205
4000	156.627	713.505	575.971	550.135	-925.157	-68.531	0.895
4100	156.690	717.373	579.373	565.801	-925.266	-47.114	0.600
4200	156.749	721.150	582.704	581.473	-925.412	-25.694	0.320
4300	156.804	724.839	585.967	597.151	-925.595	-4.269	0.052
4400	156.856	728.444	589.164	612.834	-925.816	17.158	-0.204
4500	156.904	731.970	592.299	628.522	-926.073	38.591	-0.448
4600	156.949	735.419	595.372	644.214	-926.368	60.031	-0.682
4700	156.991	738.795	598.388	659.911	-926.699	81.479	-0.906
4800	157.031	742.100	601.348	675.612	-927.068	102.933	-1.120
4900	157.068	745.339	604.254	691.317	-927.475	124.397	-1.326
5000	157.103	748.512	607.107	707.026	-927.920	145.869	-1.524
5100	157.137	751.624	609.910	722.738	-928.403	167.349	-1.714
5200	157.168	754.675	612.665	738.453	-928.926	188.838	-1.897
5300	157.198	757.669	615.373	754.172	-929.488	210.340	-2.073
5400	157.226	760.608	618.035	769.893	-930.092	231.851	-2.243
5500	157.252	763.493	620.654	785.617	-930.737	253.373	-2.406
5600	157.278	766.327	623.230	801.343	-931.425	274.911	-2.564
5700	157.301	769.111	625.765	817.072	-932.156	296.458	-2.717
5800	157.324	771.847	628.260	832.803	-932.933	318.021	-2.864
5900	157.346	774.536	630.716	848.537	-933.755	339.592	-3.007
6000	157.366	777.181	633.136	864.272	-934.625	361.184	-3.144
