Hydronium, Ion (H3O+)	H3O1+(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-10.016	581.986				
100	33.258	155.526	222.432	-6.691						
200	33.536	178.619	195.407	-3.358						
250	34.159	186.161	192.829	-1.667						
298.15	35.146	192.257	192.257	0.	581.158	606.607	-106.275
300	35.190	192.474	192.257	0.065	581.154	606.765	-105.647
350	36.540	197.997	192.691	1.857	581.074	611.040	-91.193
400	38.081	202.975	193.670	3.722	581.045	615.324	-80.353
450	39.697	207.554	194.961	5.667	581.080	619.607	-71.922
500	41.309	211.820	196.436	7.692	581.180	623.883	-65.177
600	44.368	219.626	199.663	11.978	581.571	632.391	-55.055
700	47.158	226.678	203.026	16.556	582.194	640.815	-47.818
800	49.727	233.145	206.392	21.402	583.021	649.135	-42.384
900	52.131	239.142	209.702	26.496	584.029	657.341	-38.151
1000	54.401	244.753	212.929	31.824	585.199	665.426	-34.758
1100	56.542	250.040	216.065	37.372	586.513	673.386	-31.976
1200	58.553	255.047	219.107	43.128	587.955	681.221	-29.653
1300	60.428	259.808	222.056	49.078	589.512	688.930	-27.682
1400	62.164	264.351	224.916	55.209	591.168	696.517	-25.987
1500	63.763	268.695	227.691	61.506	592.911	703.981	-24.515
1600	65.229	272.858	230.385	67.957	594.730	711.327	-23.222
1700	66.569	276.853	233.001	74.548	596.614	718.557	-22.079
1800	67.790	280.693	235.545	81.267	598.552	725.674	-21.059
1900	68.903	284.389	238.019	88.102	600.537	732.682	-20.143
2000	69.915	287.949	240.427	95.044	602.561	739.585	-19.316
2100	70.837	291.383	242.772	102.082	604.618	746.386	-18.565
2200	71.676	294.698	245.058	109.209	606.700	753.088	-17.881
2300	72.440	297.901	247.286	116.415	608.803	759.695	-17.253
2400	73.138	300.999	249.460	123.694	610.923	766.210	-16.676
2500	73.775	303.998	251.582	131.041	613.055	772.637	-16.143
2600	74.358	306.903	253.654	138.448	615.196	778.977	-15.650
2700	74.891	309.719	255.678	145.911	617.343	785.236	-15.191
2800	75.381	312.452	257.657	153.424	619.492	791.415	-14.764
2900	75.831	315.105	259.593	160.985	621.642	797.517	-14.365
3000	76.245	317.683	261.486	168.589	623.790	803.545	-13.991
3100	76.626	320.189	263.340	176.233	625.935	809.502	-13.640
3200	76.979	322.628	265.155	183.914	628.074	815.389	-13.310
3300	77.304	325.001	266.932	191.628	630.207	821.210	-12.999
3400	77.606	327.314	268.674	199.374	632.331	826.966	-12.705
3500	77.886	329.567	270.382	207.149	634.445	832.659	-12.427
3600	78.146	331.765	272.057	214.950	636.548	838.293	-12.163
3700	78.387	333.910	273.700	222.777	638.639	843.868	-11.913
3800	78.612	336.003	275.312	230.627	640.718	849.387	-11.676
3900	78.823	338.048	276.894	238.499	642.782	854.852	-11.449
4000	79.019	340.046	278.448	246.391	644.832	860.263	-11.234
4100	79.202	342.000	279.975	254.302	646.866	865.624	-11.028
4200	79.374	343.910	281.474	262.231	648.884	870.935	-10.832
4300	79.535	345.780	282.948	270.177	650.885	876.198	-10.644
4400	79.687	347.610	284.397	278.138	652.869	881.415	-10.464
4500	79.829	349.402	285.822	286.114	654.835	886.586	-10.291
4600	79.962	351.158	287.223	294.103	656.782	891.715	-10.126
4700	80.088	352.880	288.602	302.106	658.712	896.801	-9.967
4800	80.207	354.567	289.958	310.121	660.622	901.847	-9.814
4900	80.319	356.222	291.294	318.147	662.513	906.853	-9.667
5000	80.425	357.846	292.609	326.185	664.386	911.821	-9.526
5100	80.526	359.439	293.904	334.232	666.239	916.751	-9.389
5200	80.621	361.004	295.179	342.290	668.074	921.645	-9.258
5300	80.710	362.540	296.435	350.356	669.890	926.504	-9.131
5400	80.796	364.050	297.674	358.431	671.687	931.329	-9.009
5500	80.877	365.533	298.894	366.515	673.467	936.120	-8.891
5600	80.953	366.991	300.097	374.607	675.228	940.881	-8.776
5700	81.027	368.425	301.283	382.706	676.972	945.609	-8.666
5800	81.096	369.834	302.453	390.812	678.699	950.307	-8.558
5900	81.162	371.221	303.607	398.925	680.410	954.974	-8.455
6000	81.225	372.586	304.745	407.044	682.104	959.614	-8.354
