Lithium Silicate (Li2SiO3)	Li2O3Si1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-14.554	-1638.567	-1638.567	INFINITE
100	27.669	12.276	148.950	-13.667	-1643.293	-1616.673	844.463
200	72.036	45.798	88.665	-8.573	-1647.428	-1588.278	414.816
298.15	100.567	80.295	80.295	0.	-1649.500	-1558.739	273.085
300	101.010	80.919	80.297	0.186	-1649.524	-1558.176	271.303
400	118.826	112.628	84.499	11.252	-1650.237	-1527.594	199.483
500	127.809	140.155	92.946	23.604	-1656.617	-1496.277	156.315
600	134.306	164.049	102.850	36.720	-1656.584	-1464.203	127.470
700	139.649	185.161	113.129	50.422	-1656.061	-1432.175	106.870
800	144.432	204.128	123.338	64.632	-1655.158	-1400.249	91.427
900	148.565	221.382	133.288	79.285	-1653.958	-1368.455	79.423
1000	152.302	237.232	142.900	94.331	-1652.487	-1336.808	69.828
1100	155.576	251.903	152.151	109.728	-1650.773	-1305.321	61.985
1200	158.574	265.571	161.040	125.437	-1648.837	-1274.001	55.456
1300	161.293	278.371	169.578	141.431	-1646.703	-1242.850	49.938
1400	163.942	290.422	177.783	157.694	-1644.375	-1211.870	45.215
1474.000	165.856	298.915	183.653	169.896	CRYSTAL <--> LIQUID
1500	166.523	301.821	185.676	174.217	1641.853  1181.064 41.128
1600	169.034	312.649	193.276	190.996	-1639.140	-1150.432	37.558
1700	171.502	322.971	200.604	208.023	-1976.890	-1105.177	33.958
1800	173.887	332.841	207.678	225.293	-1972.074	-1054.038	30.587
1900	176.188	342.305	214.517	242.798	-1967.061	-1003.172	27.579
2000	178.406	351.399	221.135	260.528	-1961.862	-952.574	24.879
2100	180.537	360.155	227.548	278.476	-1956.485	-902.241	22.442
2200	182.590	368.602	233.768	296.633	-1950.940	-852.168	20.233
2300	184.565	376.762	239.809	314.991	-1945.238	-802.351	18.222
2400	186.461	384.657	245.681	333.543	-1939.387	-752.786	16.384
2500	188.280	392.306	251.394	352.281	-1933.399	-703.467	14.698
