Magnesium Titanium Oxide (MgTiO3)	Mg1O3Ti1(cr,l)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-13.556	-1563.260	-1563.260	INFINITE
100	25.510	10.857	138.595	-12.774	-1568.037	-1541.350	805.119
200	67.873	42.539	82.308	-7.954	-1571.507	-1513.096	395.180
298.15	91.881	74.559	74.559	0.	-1572.556	-1484.128	260.013
300	92.203	75.128	74.561	0.170	-1572.560	-1483.579	258.314
400	105.244	103.609	78.355	10.102	-1572.255	-1453.939	189.865
500	113.123	128.001	85.906	21.047	-1571.304	-1424.461	148.812
600	118.453	149.124	94.722	32.641	-1570.043	-1395.208	121.464
700	122.353	167.690	103.847	44.690	-1568.636	-1366.179	101.946
800	125.382	184.233	112.880	57.082	-1567.162	-1337.357	87.320
900	127.846	199.147	121.650	69.747	-1565.714	-1308.719	75.956
1000	129.938	212.728	130.089	82.639	-1572.993	-1279.523	66.835
1100	131.775	225.200	138.177	95.726	-1571.915	-1250.229	59.368
1200	133.432	236.738	145.915	108.987	-1574.903	-1220.909	53.145
1300	134.972	247.480	153.319	122.408	-1573.268	-1191.476	47.874
1400	136.423	257.536	160.408	135.979	-1699.017	-1159.002	43.243
1500	137.821	266.996	167.202	149.691	-1695.995	-1120.536	39.021
1600	139.185	275.934	173.721	163.542	-1692.979	-1082.270	35.333
1700	140.532	284.413	179.985	177.527	-1689.982	-1044.193	32.084
1800	141.879	292.483	186.012	191.648	-1687.017	-1006.291	29.202
1900	143.231	300.191	191.820	205.903	-1684.097	-968.553	26.627
1953.000	143.949	304.141	194.815	213.514	CRYSTAL <--> LIQUID
1953.000	163.176	350.416	194.815	303.888	TRANSITION
2000	163.176	354.296	198.517	311.557	-1604.658	-932.699	24.360
2100	163.176	362.258	206.127	327.875	-1600.822	-899.195	22.366
2200	163.176	369.848	213.397	344.193	-1597.019	-865.873	20.558
2300	163.176	377.102	220.358	360.510	-1593.251	-832.724	18.912
2400	163.176	384.047	227.035	376.828	-1589.518	-799.739	17.406
2500	163.176	390.708	233.450	393.145	-1585.818	-766.907	16.024
2600	163.176	397.108	239.622	409.463	-1582.152	-734.223	14.751
2700	163.176	403.266	245.570	425.781	-1578.520	-701.679	13.575
2800	163.176	409.200	251.308	442.098	-1574.922	-669.269	12.485
2900	163.176	414.926	256.852	458.416	-1571.357	-636.988	11.473
3000	163.176	420.458	262.214	474.733	-1567.828	-604.829	10.531
3100	163.176	425.809	267.405	491.051	-1564.332	-572.786	9.651
3200	163.176	430.989	272.437	507.369	-1560.871	-540.857	8.829
3300	163.176	436.011	277.318	523.686	-1557.446	-509.035	8.057
3400	163.176	440.882	282.057	540.004	-1554.057	-477.315	7.333
3500	163.176	445.612	286.663	556.321	-1550.706	-445.695	6.652
3600	163.176	450.209	291.142	572.639	-1547.392	-414.170	6.009
3700	163.176	454.680	295.502	588.957	-1953.217	-374.949	5.293
3800	163.176	459.031	299.749	605.274	-1948.749	-332.352	4.568
3900	163.176	463.270	303.887	621.592	-1944.379	-289.872	3.882
4000	163.176	467.401	307.924	637.909	-1940.107	-247.504	3.232
