Lead Oxide (PbO)	O1Pb1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-8.961	72.550	72.550	INFINITE
100	29.136	207.019	267.535	-6.052	72.241	63.887	-33.371
200	30.424	227.495	242.946	-3.090	71.222	55.926	-14.606
250	31.516	234.401	240.568	-1.542	70.736	52.159	-10.898
298.15	32.508	240.039	240.039	0.	70.291	48.622	-8.518
300	32.544	240.240	240.039	0.060	70.275	48.487	-8.442
350	33.415	245.324	240.439	1.710	69.832	44.891	-6.700
400	34.123	249.834	241.337	3.399	69.399	41.358	-5.401
450	34.692	253.887	242.510	5.120	68.965	37.879	-4.397
500	35.149	257.567	243.834	6.866	68.523	34.448	-3.599
600	35.822	264.039	246.677	10.417	67.605	27.719	-2.413
700	36.281	269.597	249.564	14.024	61.762	21.946	-1.638
800	36.608	274.464	252.378	17.669	60.722	16.329	-1.066
900	36.852	278.791	255.077	21.342	59.707	10.841	-0.629
1000	37.040	282.684	257.646	25.038	58.717	5.465	-0.285
1100	37.191	286.222	260.086	28.749	57.749	0.187	-0.009
1200	37.315	289.463	262.401	32.475	56.807	-5.004	0.218
1300	37.420	292.454	264.599	36.212	55.881	-10.118	0.407
1400	37.510	295.231	266.689	39.958	54.958	-15.160	0.566
1500	37.590	297.821	268.679	43.713	54.029	-20.136	0.701
1600	37.662	300.250	270.577	47.476	53.085	-25.050	0.818
1700	37.727	302.535	272.390	51.245	52.123	-29.904	0.919
1800	37.788	304.693	274.126	55.021	51.139	-34.701	1.007
1900	37.844	306.738	275.789	58.803	50.131	-39.442	1.084
2000	37.898	308.680	277.385	62.590	49.097	-44.130	1.153
2100	37.951	310.530	278.920	66.382	-129.185	-41.650	1.036
2200	38.003	312.297	280.397	70.180	-129.884	-37.465	0.890
2300	38.054	313.988	281.821	73.983	-130.678	-33.247	0.755
2400	38.108	315.608	283.195	77.791	-131.568	-28.993	0.631
2500	38.164	317.165	284.523	81.605	-132.554	-24.699	0.516
2600	38.224	318.663	285.808	85.424	-133.636	-20.363	0.409
2700	38.290	320.107	287.051	89.250	-134.811	-15.985	0.309
2800	38.362	321.501	288.257	93.082	-136.073	-11.561	0.216
2900	38.444	322.848	289.427	96.922	-137.418	-7.091	0.128
3000	38.536	324.153	290.563	100.771	-138.838	-2.573	0.045
3100	38.641	325.418	291.667	104.630	-140.326	1.994	-0.034
3200	38.760	326.647	292.741	108.500	-141.875	6.609	-0.108
3300	38.895	327.842	293.786	112.383	-143.474	11.274	-0.178
3400	39.048	329.005	294.805	116.280	-145.115	15.988	-0.246
3500	39.220	330.139	295.799	120.193	-146.789	20.751	-0.310
3600	39.413	331.247	296.768	124.124	-148.487	25.562	-0.371
3700	39.629	332.330	297.714	128.076	-150.200	30.420	-0.429
3800	39.869	333.390	298.639	132.051	-151.919	35.325	-0.486
3900	40.134	334.429	299.544	136.051	-153.635	40.275	-0.539
4000	40.425	335.448	300.429	140.079	-155.342	45.268	-0.591
4100	40.743	336.450	301.295	144.137	-157.030	50.304	-0.641
4200	41.088	337.436	302.144	148.228	-158.693	55.381	-0.689
4300	41.461	338.407	302.976	152.355	-160.324	60.498	-0.735
4400	41.862	339.365	303.792	156.521	-161.917	65.652	-0.779
4500	42.290	340.311	304.593	160.729	-163.466	70.841	-0.822
4600	42.746	341.245	305.380	164.980	-164.965	76.064	-0.864
4700	43.229	342.169	306.153	169.279	-166.410	81.320	-0.904
4800	43.738	343.085	306.913	173.627	-167.797	86.606	-0.942
4900	44.272	343.992	307.660	178.027	-169.121	91.920	-0.980
5000	44.830	344.892	308.396	182.482	-170.380	97.260	-1.016
5100	45.410	345.786	309.120	186.994	-171.571	102.625	-1.051
5200	46.012	346.673	309.834	191.565	-172.690	108.012	-1.085
5300	46.634	347.555	310.537	196.197	-173.736	113.420	-1.118
5400	47.273	348.433	311.231	200.892	-174.708	118.847	-1.150
5500	47.928	349.306	311.915	205.652	-175.605	124.292	-1.180
5600	48.596	350.176	312.591	210.478	-176.425	129.752	-1.210
5700	49.277	351.042	313.258	215.372	-177.168	135.226	-1.239
5800	49.966	351.905	313.917	220.334	-177.834	140.713	-1.267
5900	50.663	352.765	314.568	225.365	-178.423	146.210	-1.294
6000	51.364	353.623	315.212	230.466	-178.938	151.717	-1.321
