Strontium Oxide (SrO)	O1Sr1(cr)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.000	0.000	INFINITE	-8.675	-589.801	-589.801	INFINITE
100	24.949	15.242	91.864	-7.662	-591.740	-581.794	303.898
200	40.409	38.334	59.542	-4.242	-592.263	-571.540	149.271
298.15	45.409	55.522	55.522	0.000	-592.036	-561.402	98.355
500	50.534	80.376	60.880	9.748	-590.937	-540.947	56.512
600	52.049	89.728	64.929	14.880	-590.315	-531.007	46.228
700	53.262	97.845	69.064	20.147	-589.709	-521.171	38.890
800	54.300	105.026	73.119	25.526	-589.138	-511.419	33.392
900	55.220	111.476	77.029	31.002	-589.238	-501.664	29.116
1000	56.074	117.338	80.771	36.568	-588.437	-491.977	25.698
1100	56.873	122.720	84.343	42.215	-595.481	-482.006	22.889
1200	57.639	127.702	87.751	47.941	-595.475	-471.690	20.532
1300	58.379	132.345	91.005	53.742	-595.412	-461.376	18.538
1400	59.103	136.698	94.115	59.616	-595.291	-451.070	16.830
1500	59.810	140.800	97.092	65.562	-595.112	-440.775	15.349
1600	60.509	144.682	99.946	71.578	-594.876	-430.493	14.054
1700	61.199	148.371	102.687	77.664	-731.497	-419.048	12.876
1800	61.881	151.889	105.323	83.818	-729.287	-400.732	11.629
1900	62.559	155.253	107.863	90.040	-727.026	-382.541	10.517
2000	63.229	158.479	110.314	96.329	-724.717	-364.469	9.519
2100	63.898	161.580	112.682	102.685	-722.365	-346.515	8.619
2200	64.563	164.568	114.973	109.109	-719.974	-328.672	7.804
2300	65.229	167.452	117.192	115.598	-717.551	-310.940	7.062
2400	65.890	170.242	119.345	122.154	-715.100	-293.314	6.384
2500	66.551	172.945	121.435	128.776	-712.631	-275.791	5.762
2600	67.208	175.568	123.467	135.464	-710.151	-258.366	5.191
2700	67.864	178.117	125.444	142.218	-707.669	-241.036	4.663
2800	68.517	180.597	127.370	149.037	-705.195	-223.799	4.175
2900	69.174	183.013	129.247	155.921	-702.739	-206.650	3.722
2938.000	69.425	183.915	129.948	158.555	CRYSTAL <--> LIQUID
3000	69.827	185.369	131.079	162.871	700.309  189.585 3.301
3100	70.479	187.669	132.867	169.887	-697.917	-172.600	2.908
3200	71.132	189.917	134.615	176.967	-695.572	-155.692	2.541
3300	71.785	192.116	136.324	184.113	-693.282	-138.857	2.198
3400	72.438	194.269	137.997	191.324	-691.058	-122.089	1.876
3500	73.086	196.378	139.635	198.600	-688.907	-105.387	1.573
3600	73.739	198.446	141.240	205.942	-686.837	-88.744	1.288
