Zirconium Oxide (ZrO)	O1Zr1(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-8.786	59.629	59.629	INFINITE
100	29.106	195.385	254.156	-5.877	60.199	50.732	-26.500
200	29.489	215.622	230.400	-2.956	59.472	41.506	-10.840
250	30.099	222.263	228.131	-1.467	59.016	37.067	-7.745
298.15	30.845	227.627	227.627	0.	58.576	32.880	-5.760
300	30.875	227.818	227.628	0.057	58.559	32.721	-5.697
350	31.680	232.639	228.007	1.621	58.114	28.450	-4.246
400	32.439	236.919	228.858	3.224	57.681	24.241	-3.166
450	33.124	240.780	229.972	4.864	57.258	20.087	-2.332
500	33.745	244.303	231.231	6.536	56.838	15.979	-1.669
600	34.906	250.558	233.944	9.968	56.000	7.886	-0.687
700	36.165	256.031	236.716	13.520	55.158	-0.066	0.005
800	37.695	260.956	239.443	17.211	54.330	-7.899	0.516
900	39.539	265.500	242.089	21.070	53.539	-15.629	0.907
1000	41.624	269.772	244.645	25.126	52.809	-23.275	1.216
1100	43.811	273.841	247.116	29.398	52.155	-30.851	1.465
1200	45.942	277.746	249.507	33.887	47.867	-38.149	1.661
1300	47.875	281.501	251.824	38.580	47.900	-45.317	1.821
1400	49.510	285.111	254.074	43.452	48.055	-52.493	1.959
1500	50.791	288.573	256.259	48.470	48.289	-59.683	2.078
1600	51.705	291.882	258.383	53.598	48.556	-66.890	2.184
1700	52.273	295.035	260.447	58.799	48.811	-74.113	2.277
1800	52.538	298.032	262.453	64.042	49.011	-81.350	2.361
1900	52.552	300.874	264.401	69.299	49.116	-88.596	2.436
2000	52.372	303.565	266.292	74.546	49.096	-95.844	2.503
2100	52.049	306.113	268.128	79.768	48.922	-103.087	2.564
2200	51.629	308.525	269.910	84.953	27.249	-109.573	2.602
2300	51.152	310.810	271.639	90.092	26.289	-115.771	2.629
2400	50.648	312.976	273.317	95.182	25.269	-121.926	2.654
2500	50.140	315.034	274.945	100.222	24.187	-128.037	2.675
2600	49.646	316.990	276.525	105.211	23.044	-134.103	2.694
2700	49.179	318.855	278.058	110.152	21.842	-140.125	2.711
2800	48.747	320.636	279.547	115.048	20.585	-146.101	2.726
2900	48.354	322.339	280.994	119.902	19.277	-152.031	2.738
3000	48.004	323.973	282.399	124.720	17.922	-157.915	2.750
3100	47.697	325.542	283.766	129.505	16.525	-163.753	2.759
3200	47.433	327.052	285.095	134.261	15.090	-169.546	2.768
3300	47.209	328.508	286.389	138.993	13.622	-175.294	2.775
3400	47.025	329.914	287.648	143.704	12.126	-180.996	2.781
3500	46.876	331.275	288.875	148.399	10.605	-186.654	2.786
3600	46.762	332.594	290.072	153.080	9.063	-192.268	2.790
3700	46.677	333.874	291.238	157.752	7.504	-197.839	2.793
3800	46.621	335.118	292.377	162.417	5.930	-203.367	2.795
3900	46.589	336.328	293.488	167.077	4.345	-208.855	2.797
4000	46.579	337.508	294.574	171.735	2.752	-214.301	2.798
4100	46.588	338.658	295.635	176.394	1.152	-219.708	2.799
4200	46.614	339.781	296.673	181.054	-0.453	-225.075	2.799
4300	46.654	340.878	297.688	185.717	-2.061	-230.404	2.799
4400	46.707	341.951	298.682	190.385	-3.670	-235.696	2.798
4500	46.770	343.002	299.655	195.059	-5.279	-240.951	2.797
4600	46.841	344.030	300.609	199.739	-6.887	-246.171	2.795
4700	46.918	345.039	301.544	204.427	-8.495	-251.355	2.794
4800	47.001	346.027	302.460	209.123	-571.037	-244.888	2.665
4900	47.088	346.997	303.359	213.827	-572.292	-238.080	2.538
5000	47.176	347.950	304.241	218.540	-573.562	-231.247	2.416
5100	47.267	348.885	305.108	223.263	-574.846	-224.388	2.298
5200	47.357	349.803	305.958	227.994	-576.141	-217.504	2.185
5300	47.447	350.706	306.794	232.734	-577.448	-210.594	2.076
5400	47.536	351.594	307.616	237.483	-578.765	-203.660	1.970
5500	47.622	352.467	308.423	242.241	-580.092	-196.702	1.868
5600	47.707	353.326	309.217	247.008	-581.428	-189.719	1.770
5700	47.788	354.171	309.999	251.782	-582.772	-182.712	1.674
5800	47.865	355.003	310.767	256.565	-584.124	-175.681	1.582
5900	47.939	355.822	311.524	261.355	-585.483	-168.628	1.493
6000	48.008	356.628	312.269	266.153	-586.851	-161.551	1.406
