Lead, Ion  (Pb-)	Pb1-(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-6.197	160.761				
100	20.786	164.193	205.381	-4.119						
200	20.786	178.601	188.802	-2.040						
250	20.786	183.239	187.243	-1.001						
298.15	20.786	186.900	186.900	0.	153.882	123.728	-21.677
300	20.786	187.029	186.901	0.038	153.833	123.541	-21.510
350	20.786	190.233	187.154	1.078	152.479	118.600	-17.700
400	20.786	193.009	187.716	2.117	151.104	113.853	-14.868
450	20.786	195.457	188.443	3.156	149.707	109.281	-12.685
500	20.786	197.647	189.256	4.196	148.290	104.864	-10.955
600	20.786	201.437	190.980	6.274	145.401	96.449	-8.397
700	20.786	204.641	192.708	8.353	137.579	89.322	-6.665
800	20.786	207.417	194.377	10.431	134.562	82.635	-5.396
900	20.786	209.865	195.965	12.510	131.576	76.324	-4.430
1000	20.786	212.055	197.466	14.589	128.622	70.343	-3.674
1100	20.786	214.036	198.884	16.667	125.697	64.657	-3.070
1200	20.786	215.845	200.223	18.746	122.803	59.236	-2.578
1300	20.786	217.508	201.490	20.824	119.933	54.055	-2.172
1400	20.786	219.049	202.689	22.903	117.070	49.095	-1.832
1500	20.786	220.483	203.828	24.982	114.206	44.340	-1.544
1600	20.786	221.824	204.912	27.060	111.333	39.775	-1.299
1700	20.786	223.085	205.944	29.139	108.448	35.391	-1.087
1800	20.786	224.273	206.930	31.217	105.546	31.178	-0.905
1900	20.786	225.396	207.872	33.296	102.626	27.126	-0.746
2000	20.786	226.463	208.775	35.375	99.686	23.228	-0.607
2100	20.786	227.477	209.642	37.453	-80.496	26.593	-0.661
2200	20.786	228.444	210.475	39.532	-83.088	31.753	-0.754
2300	20.786	229.368	211.276	41.610	-85.770	37.032	-0.841
2400	20.786	230.252	212.049	43.689	-88.541	42.431	-0.923
2500	20.786	231.101	212.794	45.768	-91.404	47.946	-1.002
2600	20.786	231.916	213.514	47.846	-94.357	53.578	-1.076
2700	20.786	232.701	214.210	49.925	-97.399	59.326	-1.148
2800	20.786	233.457	214.884	52.004	-100.525	65.187	-1.216
2900	20.786	234.186	215.537	54.082	-103.731	71.162	-1.282
3000	20.786	234.891	216.170	56.161	-107.012	77.248	-1.345
3100	20.786	235.572	216.785	58.239	-110.361	83.445	-1.406
3200	20.786	236.232	217.383	60.318	-113.772	89.751	-1.465
3300	20.786	236.872	217.964	62.397	-117.238	96.165	-1.522
3400	20.786	237.492	218.529	64.475	-120.752	102.684	-1.578
3500	20.786	238.095	219.079	66.554	-124.308	109.308	-1.631
3600	20.786	238.680	219.616	68.632	-127.898	116.033	-1.684
3700	20.786	239.250	220.139	70.711	-131.515	122.859	-1.734
3800	20.786	239.804	220.649	72.790	-135.155	129.782	-1.784
3900	20.786	240.344	221.147	74.868	-138.810	136.802	-1.832
4000	20.786	240.870	221.634	76.947	-142.477	143.916	-1.879
4100	20.786	241.384	222.109	79.025	-146.149	151.121	-1.925
4200	20.786	241.885	222.574	81.104	-149.823	158.416	-1.970
4300	20.786	242.374	223.029	83.183	-153.494	165.798	-2.014
4400	20.786	242.852	223.474	85.261	-157.160	173.266	-2.057
4500	20.786	243.319	223.910	87.340	-160.817	180.817	-2.099
4600	20.786	243.776	224.337	89.418	-164.463	188.449	-2.140
4700	20.786	244.223	224.755	91.497	-168.095	196.160	-2.180
4800	20.786	244.660	225.165	93.576	-171.713	203.949	-2.219
4900	20.786	245.089	225.567	95.654	-175.313	211.812	-2.258
5000	20.786	245.509	225.962	97.733	-178.897	219.749	-2.296
5100	20.786	245.920	226.349	99.811	-182.462	227.757	-2.333
5200	20.786	246.324	226.730	101.890	-186.008	235.836	-2.369
5300	20.786	246.720	227.103	103.969	-189.535	243.982	-2.405
5400	20.786	247.108	227.470	106.047	-193.043	252.194	-2.439
5500	20.786	247.490	227.831	108.126	-196.532	260.471	-2.474
5600	20.786	247.864	228.185	110.204	-200.002	268.812	-2.507
5700	20.786	248.232	228.533	112.283	-203.455	277.214	-2.540
5800	20.786	248.594	228.876	114.362	-206.890	285.677	-2.573
5900	20.786	248.949	229.213	116.440	-210.306	294.199	-2.605
6000	20.786	249.298	229.545	118.519	-213.708	302.778	-2.636
