Zinc, Ion (Zn+)	Zn1+(g)
T(K)	Cp	S	-[G-H(Tr)]/T	H-H(Tr)	delta-f H	delta-f G	log Kf
0	0.	0.	INFINITE	-6.197	1030.611				
100	20.786	144.043	185.231	-4.119						
200	20.786	158.451	168.652	-2.040						
250	20.786	163.090	167.093	-1.001						
298.15	20.786	166.751	166.751	0.	1037.336	993.803	-174.110
300	20.786	166.879	166.751	0.038	1037.366	993.532	-172.989
350	20.786	170.083	167.004	1.078	1038.162	986.164	-147.177
400	20.786	172.859	167.566	2.117	1038.935	978.682	-127.803
450	20.786	175.307	168.293	3.156	1039.684	971.105	-112.723
500	20.786	177.497	169.106	4.196	1040.407	963.446	-100.651
600	20.786	181.287	170.830	6.274	1041.767	947.925	-82.524
700	20.786	184.491	172.559	8.353	1035.667	932.262	-69.566
800	20.786	187.267	174.227	10.431	1036.686	917.420	-59.901
900	20.786	189.715	175.815	12.510	1037.705	902.451	-52.377
1000	20.786	191.905	177.316	14.589	1038.725	887.368	-46.351
1100	20.786	193.886	178.734	16.667	1039.744	872.183	-41.417
1200	20.786	195.695	180.073	18.746	925.662	858.840	-37.384
1300	20.786	197.359	181.340	20.824	927.741	853.188	-34.282
1400	20.786	198.899	182.540	22.903	929.819	847.375	-31.616
1500	20.786	200.333	183.679	24.982	931.898	841.413	-29.301
1600	20.786	201.675	184.762	27.060	933.977	835.313	-27.270
1700	20.786	202.935	185.794	29.139	936.055	829.083	-25.475
1800	20.786	204.123	186.780	31.217	938.134	822.731	-23.875
1900	20.786	205.247	187.722	33.296	940.212	816.263	-22.441
2000	20.786	206.313	188.626	35.375	942.291	809.685	-21.147
2100	20.786	207.327	189.492	37.453	944.370	803.004	-19.974
2200	20.786	208.294	190.325	39.532	946.448	796.224	-18.905
2300	20.786	209.218	191.126	41.610	948.527	789.349	-17.927
2400	20.786	210.103	191.899	43.689	950.605	782.383	-17.028
2500	20.786	210.951	192.644	45.768	952.684	775.331	-16.200
2600	20.786	211.766	193.364	47.846	954.763	768.196	-15.433
2700	20.786	212.551	194.060	49.925	956.841	760.981	-14.722
2800	20.786	213.307	194.734	52.004	958.920	753.689	-14.060
2900	20.786	214.036	195.387	54.082	960.998	746.323	-13.443
3000	20.786	214.741	196.021	56.161	963.077	738.885	-12.865
3100	20.786	215.422	196.636	58.239	965.155	731.377	-12.324
3200	20.786	216.082	197.233	60.318	967.233	723.803	-11.815
3300	20.786	216.722	197.814	62.397	969.311	716.164	-11.336
3400	20.786	217.343	198.379	64.475	971.388	708.461	-10.884
3500	20.786	217.945	198.930	66.554	973.465	700.698	-10.457
3600	20.786	218.531	199.466	68.632	975.541	692.875	-10.053
3700	20.786	219.100	199.989	70.711	977.616	684.995	-9.670
3800	20.786	219.654	200.499	72.790	979.691	677.058	-9.307
3900	20.786	220.194	200.997	74.868	981.763	669.067	-8.961
4000	20.786	220.721	201.484	76.947	983.835	661.023	-8.632
4100	20.786	221.234	201.959	79.025	985.904	652.927	-8.318
4200	20.786	221.735	202.424	81.104	987.970	644.781	-8.019
4300	20.787	222.224	202.879	83.183	990.033	636.585	-7.733
4400	20.787	222.702	203.324	85.261	992.093	628.342	-7.459
4500	20.787	223.169	203.760	87.340	994.149	620.051	-7.197
4600	20.787	223.626	204.187	89.419	996.200	611.716	-6.946
4700	20.788	224.073	204.605	91.497	998.245	603.335	-6.705
4800	20.788	224.511	205.015	93.576	1000.284	594.911	-6.474
4900	20.789	224.939	205.418	95.655	1002.316	586.445	-6.252
5000	20.790	225.359	205.812	97.734	1004.340	577.937	-6.038
5100	20.791	225.771	206.200	99.813	1006.355	569.389	-5.832
5200	20.792	226.175	206.580	101.892	1008.360	560.802	-5.633
5300	20.794	226.571	206.953	103.972	1010.353	552.176	-5.442
5400	20.796	226.959	207.320	106.051	1012.334	543.512	-5.257
5500	20.798	227.341	207.681	108.131	1014.302	534.812	-5.079
5600	20.800	227.716	208.035	110.211	1016.256	526.076	-4.907
5700	20.803	228.084	208.384	112.291	1018.193	517.306	-4.741
5800	20.807	228.446	208.727	114.371	1020.113	508.502	-4.580
5900	20.811	228.801	209.064	116.452	1022.015	499.665	-4.424
6000	20.815	229.151	209.396	118.533	1023.896	490.795	-4.273
